Lemma,Word_Type,Category,Primary_subcategory,Alt_split
Access,s,style,advanced_anglicism,['Zugriff']
Actionables,s,style,advanced_anglicism,"['Aufgaben', 'Teilaufgaben', 'nächste Schritte']"
adden,v,style,advanced_anglicism,"['hinzufügen', 'einladen', 'einwerfen', 'ergänzen', 'verbessern']"
adressieren,v,style,advanced_anglicism,"['besprechen', 'beschäftigen mit', 'angehen', 'mit (...) befassen', 'nehmen (...) dem Thema an', 'nehmen (...) der Sache an']"
agreed,a,style,advanced_anglicism,"['einer Meinung', 'zugesagt', 'eingewilligt', 'angenommen', 'vereinbart']"
Allnighter,s,style,advanced_anglicism,"['Nachtarbeit', 'durchgemachte Nacht', 'durchgearbeitete Nacht']"
asapst,a,style,advanced_anglicism,"['baldigst', 'schleunigst', 'so schnell es geht', 'so schnell wie möglich']"
best-of-breed,a,style,advanced_anglicism,"['für diesen Geschäftszweck am besten passend', 'für diesen Anwendungsfall die effektivste', 'zu diesem Zweck empfehlenswerteste']"
Brand,s,style,advanced_anglicism,"['Marke', 'Warenzeichen', 'Markenbezeichnung']"
Briefing,s,style,advanced_anglicism,"['Pressekonferenz', 'kurze Besprechung', 'Anweisung', 'kurze Zusammenfassung', 'Einweisung']"
Bullet-point,s,style,advanced_anglicism,"['Aufzählungspunkt', 'Aufzählungspunkte']"
Buyer,s,style,advanced_anglicism,"['Einkauf', 'Einkäufer~in~/~Einkäufer', 'Einkäufer~innen~ und ~Einkäufer']"
C-Level,s,style,advanced_anglicism,"['Führungsetage', 'obere Management']"
Call,s,style,advanced_anglicism,"['Telefonat', 'Video-Termin', 'Meeting', 'virtuelle Meeting', 'Bereitschaft', 'Telefonate', 'Meeting', 'Video-Termine', 'virtuelle Meetings']"
Canceln,s,style,advanced_anglicism,['Stornieren']
Case,s,style,advanced_anglicism,"['Fallstudie', 'Projekt', 'Fall', 'Auftrag']"
Certificate,s,style,advanced_anglicism,"['Zeugnis', 'Zertifikat']"
challenged,a,style,advanced_anglicism,"['hinterfragt', 'auf den Prüfstand gebracht', 'in Frage gestellt', 'genauer angesehen', 'zur Sprache gebracht']"
challengen,v,style,advanced_anglicism,"['hinterfragen', 'auf den Prüfstand bringen', 'in Frage stellen', 'genauer ansehen', 'zur Sprache bringen']"
Charts,s,style,advanced_anglicism,['Hitliste']
closen,v,style,advanced_anglicism,"['abschließen', 'zu Ende bringen', 'unterzeichnen', 'zur Unterschrift bringen']"
committen,v,style,advanced_anglicism,"['zusagen', 'fest zusagen', 'dabei sein', 'mitmachen', 'unterstützen']"
Cover-your-ass-Klausel,s,style,advanced_anglicism,['Haftungsausschluss-Klausel']
Crash,s,style,advanced_anglicism,['Absturz']
CV,s,style,advanced_anglicism,['Lebenslauf']
Deadline,s,style,advanced_anglicism,['Abgabetermin']
Debriefing,s,style,advanced_anglicism,"['Nachbesprechung', 'Schlussbesprechung']"
Deck,s,style,advanced_anglicism,"['Präsentation', 'Präsentationen']"
Draft,s,style,advanced_anglicism,"['Entwurf', 'Konzept', 'Zeichnung', 'Skizze', 'Vorlage']"
Event,s,style,advanced_anglicism,['Veranstaltung']
Eyecatcher,s,style,advanced_anglicism,['Blickfang']
Fake,s,style,advanced_anglicism,['Fälschung']
fast-lane,s,style,advanced_anglicism,['Überholspur']
Flyer,s,style,advanced_anglicism,['Flugblatt']
Gatekeeper,s,style,advanced_anglicism,"['Pforte', 'Empfang', 'Türhüter~in~/~Türhüter', 'Pförtner~in~/~Pförtner', 'Türhüter~innen~ und ~Türhüter', 'Pförtner~innen~ und ~Pförtner']"
gegreenlighted,v,style,advanced_anglicism,"['freigegeben', 'grünes Licht gegeben']"
Goodwill,s,style,advanced_anglicism,['guter Ruf']
greenlighten,v,style,advanced_anglicism,"['freigeben', 'erlauben', 'grünes Licht geben']"
High-potential,s,style,advanced_anglicism,"['vielversprechende~r Bewerber~in~/~Bewerber', 'Person mit hohem Potenzial(...)', 'vielversprechende Bewerber~innen~ und ~Bewerber', 'Personen mit hohem Potenzial(...)']"
high-priority,a,style,advanced_anglicism,"['wichtig', 'dringend', 'vordringlich', 'priorisiert', 'mit hoher Priorität']"
Highlight,s,style,advanced_anglicism,"['Höhepunkt', 'Glanzpunkt']"
Inner-Circle,s,style,advanced_anglicism,"['innere Kreis', 'kleine Kreis', 'engere Kreis']"
