Lemma,Word_Type,Category,Primary_subcategory,Alt_split
Karen,s,openly_discriminating,sexism,['-']
Karen,s,gendered,female_stereotype,"['someone who uses their privilege to demand their own way', 'someone who wants to speak to management', 'person with a self-centred approach to interacting with others', 'someone who weaponizes victimhood', 'people who use their privileges to demand their own way', 'people who want to speak to management', 'people with self-centred approaches to interacting with others', 'people who weaponizes victimhood']"
challenge,s,unconscious_bias,agentic,"['test', 'burning question', 'complex situation', 'task', 'task requiring thought and skill to solve', 'complex questions', 'difficult tasks', 'burning questions', 'tasks']"
challenge,v,unconscious_bias,agentic,"['question', 'cross-examine', 're-evaluate', 'object to', 'express the need for']"
direct,a,unconscious_bias,agentic,"['straightfoward', 'open', 'candid']"
direct,v,unconscious_bias,agentic,"['guide', 'show', 'point', 'organise', 'encourage', 'assign roles']"
drive,s,unconscious_bias,agentic,"['spirit', 'energy', 'motivation', 'appetite', 'growth mindset']"
drive,v,unconscious_bias,agentic,"['invest in', 'support', 'work toward', 'take responsibility for', 'dedicated', 'invested']"
elderly,s,unconscious_bias,age_old,"['older adult', 'older people']"
elderly,a,unconscious_bias,age_old,['older']
female,a,unconscious_bias,gender_identity,"['--- only if gender identity is relevant', '--- only if self-identifies as female']"
female,s,unconscious_bias,gender_identity,"['person', 'adult', 'woman', 'you', 'they', 'person who self-identifies as female', 'person who presents themselves in a culturally feminine way', 'team', 'crowd']"
fight,v,unconscious_bias,agentic,"['stand up to', 'make a stand', 'strive', 'engage with', 'overcome', 'face', 'hold back']"
fight,s,unconscious_bias,agentic,"['campaign', 'movement', 'initiative', 'encounter', 'debate', 'discussion', 'spirit', 'campaigns', 'movements', 'initiatives', 'encounters', 'debates', 'discussions', 'spirits']"
force,v,unconscious_bias,agentic,"['support', 'shape', 'guide', 'bring about', 'win over', 'produce through effort', 'shape the outcome', 'set the course']"
force,s,unconscious_bias,agentic,"['aptitude', 'capability', 'capacity', 'competence', 'competency', 'effectiveness', 'impact', 'influence', 'agency', 'intensity', 'aptitudes', 'capabilities', 'capacities', 'competences', 'competencies', 'effectivenesses', 'impacts', 'influences', 'agencies', 'intensities']"
handicap,s,unconscious_bias,ability,"['disability', 'impairment', 'disabilities', 'impairments']"
handicap,a,unconscious_bias,ability,"['accessible (parking, bathroom, spaces, ...)']"
hysterical,a,unconscious_bias,behavior,"['out of control', 'experiencing uncontrolled emotion', 'unable to control their behaviour', 'irrational from shock', 'experiencing overwhelming fear', 'very funny', 'hilarious', 'causing unrestrained laughter']"
hysterical,a,gendered,female_stereotype,"['funny', 'hilarious', 'frantic', 'distraught', 'agitated']"
impact,s,inclusive,communal,['']
impact,v,inclusive,inclusive,['']
lead,v,gendered,leadership,"['be responsible for', 'counsel', 'mentor', 'guide', 'coach', 'support and motivate', 'communicate the vision (shared goals, a direction, expectations, ...)']"
lead,s,gendered,leadership,"['guide', 'mentor', 'facilitator', 'supporter', 'person who inspires, encourages and provide suggestions to help their team reach shared goals', 'guides', 'mentors', 'facilitators', 'supporters', 'people who inspire, encourage and provide suggestions to help their team reach shared goals']"
male,s,unconscious_bias,gender_identity,"['person', 'adult', 'individual', 'you', 'they', 'person who self-identifies as male', 'person who presents themselves in a culturally masculine way', 'people', 'team', 'crowd', 'all', 'you all', 'persons', 'everyone']"
male,a,unconscious_bias,gender_identity,"['--- only if gender identity is relevant', '--- only if self-identifies as male', 'masculine']"
man,s,unconscious_bias,gender_identity,"['person', 'adult', 'individual', 'you', 'person who self-identifies as male', 'person who presents themselves in a culturally masculine way', 'people', 'team', 'crowd', 'all', 'you all', 'persons', 'everyone']"
man,v,gendered,hidden_image,"['staff', 'crew', 'occupy', 'work', 'use']"
master,v,unconscious_bias,agentic,"['learn', 'understand', 'overcome', 'regulate', 'manage', 'guide', 'become competent (in)']"
master,s,unconscious_bias,racist_source,"['main --- in technology', 'default --- in technology', 'primary --- in technology', 'root --- in technology']"
must-have,s,style,exaggerating,"['requirement', 'criterion', 'essential', 'required quality', 'requirements', 'criteria', 'essentials', 'required qualities']"
must-have,a,style,exaggerating,"['essential', 'helpful', 'valuable', 'mission-critical', 'vital', 'beneficial']"
musthave,s,style,exaggerating,"['requirement', 'criterion', 'essential', 'required quality', 'requirements', 'criteria', 'essentials', 'required qualities']"
musthave,a,style,exaggerating,"['essential', 'helpful', 'valuable', 'mission-critical', 'vital', 'beneficial']"
nag,v,gendered,female_stereotype,"['criticise', 'annoy', 'repeatedly comment (on something ...)', 'openly share (their) doubts', ""repeatedly complain (about someone's behaviour, appearance, ...)"", 'annoy with repeated requests/orders']"
nag,s,gendered,female_stereotype,"['critic', 'they', 'person who repeatedly shares their reservations', 'person continuing to be open about their doubts', 'someone who annoys by repeatedly complaining', 'person who annoys (someone ...) with repeated questions/requests/orders', 'critics', 'people who repeatedly share their reservations', 'people continuing to be open about their doubts', 'people who annoy by repeatedly complaining', 'people who annoy (someone ...) with repeated questions (requests, orders)']"
objective,s,unconscious_bias,agentic,"['intention', 'purpose', 'aspiration', 'goal', 'aim', 'idea', 'intent', 'plan', 'point', 'desire', 'hope', 'wish', 'intentions', 'purposes', 'aspirations', 'goals', 'aims', 'ideas', 'intents', 'plans', 'points', 'desires', 'hopes', 'wishes']"
objective,a,unconscious_bias,agentic,"['unbiased', 'open-minded', 'evenhanded', 'equitable', 'fair', 'unprejudiced', 'nondiscriminatory', 'nonpartisan', 'based on your experience', 'based on your observations', 'based on facts and data', 'actual', 'real', 'balanced', 'rational', 'reasonable', 'straightforward']"
pick fights,v+s,unconscious_bias,military_source,"['differ', 'disagree frequently', 'start debates', 'discuss options', 'present arguments']"
pick fights,v+s,unconscious_bias,agentic,"['differ', 'disagree', 'start debate', 'discuss options', 'present arguments']"
pioneer,s,gendered,function,"['inspiring personality', 'visionary', 'person who paved the way (for)', 'person to break new ground', 'someone who charted a new course', 'inspiring personalities', 'visionaries', 'pioneers']"
pioneer,v,unconscious_bias,agentic,"['guide', 'coach', 'inspire', 'introduce', 'launch', 'chart a new course', 'incorporate a shared vision', 'take (...) in a new direction', 'implement new ideas']"
psycho,s,unconscious_bias,cognitive_perception,"['person with a chronic mental disorder', 'someone with antisocial, egocentric, or violent social behaviour', 'violent person', 'unemotional person', 'callous person', 'person who lacks empathy', 'person who lacks remorse for their actions', 'people with a chronic mental disorder', 'people with antisocial, egocentric, or violent social behaviour']"
psycho,a,unconscious_bias,cognitive_perception,"['violent', 'unemotional', 'callous', 'lacking empathy', 'unable to feel remorse', 'selfish', 'self-centred', 'toxic', 'manipulative', 'egotistical', 'abusive', 'confusing', 'unpredictable', 'scary']"
queer,a,unconscious_bias,gender_identity,"['LGBTIQA+', 'genderqueer', 'genderfluid']"
queer,s,unconscious_bias,gender_identity,"['LGBTIQA+', 'queer communities']"
sass,v,unconscious_bias,culture,['talk back to']
sass,s,unconscious_bias,culture,"['spirit', 'cheek', 'backtalk', 'candidness', 'frankness']"
schizo,a,unconscious_bias,cognitive_perception,['wildly eccentric']
schizo,s,unconscious_bias,cognitive_perception,"['person with schizophrenia', 'people with schizophrenia']"
wacko,a,unconscious_bias,behavior,"['absurd', 'amusingly eccentric', 'irrational', 'bizarre', 'unpredictable']"
wacko,s,openly_discriminating,ableism,['-']
