Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Dear Sir,i,gendered,function,['Dear ((name or title))'],[''],['Dear ((name or title))']
a master at,i,gendered,hidden_image,"['skilled at', 'has a talent for', 'have a clever way of', 'has a high level of knowledge in']",[''],"['skilled at', 'has a talent for', 'have a clever way of', 'has a high level of knowledge in']"
alpha animal,s,gendered,male_stereotype,"['facilitator', 'mentor', 'supporter', 'facilitators', 'mentors', 'supporters', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course""]","['facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]","['facilitator', 'mentor', 'supporter', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course"", 'facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]"
alpha dog,s,gendered,male_stereotype,"['facilitator', 'mentor', 'supporter', 'facilitators', 'mentors', 'supporters', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course""]","['facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]","['facilitator', 'mentor', 'supporter', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course"", 'facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]"
alpha person,s,gendered,male_stereotype,"['facilitator', 'mentor', 'supporter', 'facilitators', 'mentors', 'supporters', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course""]","['facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]","['facilitator', 'mentor', 'supporter', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course"", 'facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]"
attention seeking,a,gendered,female_stereotype,"['outgoing', 'at ease in social situations', 'gregarious', 'lively', 'extroverted', 'unrestrained', 'validation-seeking', 'approval-seeking', 'causing disruption', 'tending to cause disruption']",[''],"['outgoing', 'at ease in social situations', 'gregarious', 'lively', 'extroverted', 'unrestrained', 'validation-seeking', 'approval-seeking', 'causing disruption', 'tending to cause disruption']"
back end developer,s,gendered,titles,"['they', 'back-end development', 'back-end development team', 'back-end developers', 'colleague in back-end development']","['back-end developers', 'back-end development team', 'back-end development']","['back-end development', 'they', 'colleague in back-end development', 'back-end development team', 'back-end developers']"
back-end developer,s,gendered,titles,"['they', 'back-end development', 'back-end development team', 'back-end developers', 'colleague in back-end development']","['back-end developers', 'back-end development team', 'back-end development']","['back-end development', 'they', 'colleague in back-end development', 'back-end development team', 'back-end developers']"
backend developer,s,gendered,titles,"['they', 'back-end development', 'back-end development team', 'back-end developers', 'colleague in back-end development']","['back-end developers', 'back-end development team', 'back-end development']","['back-end development', 'they', 'colleague in back-end development', 'back-end development team', 'back-end developers']"
boldly go where no man has gone before,i,gendered,hidden_image,['boldly go where no one has gone before'],[''],['boldly go where no one has gone before']
