MaleCodedWords,Is active,Wordtype,Forms,Alternatives-German Input fields job tite | Role | Requirements,Alternatives-German input fields Company | Company Culture | Goodies,Subcategory: competitive | Hard-hearted | Rough | Corporate,Alternatives_split
abenteuerlich,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,neugierig | Spass an Neuem | entdeckungsfreudig,experimentierfreudig | wir probieren gerne aus,competitive,"['neugierig', 'Spass an Neuem', 'entdeckungsfreudig']"
abenteuerlustig,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,neugierig | Spass an Neuem | entdeckungsfreudig,neugierig | Spass an Neuem | entdeckungsfreudig,competitive,"['neugierig', 'Spass an Neuem', 'entdeckungsfreudig']"
abgebrüht,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,ruhig | weise | mit Erfahrung,ruhig | weise | mit Erfahrung,hard-hearted,"['ruhig', 'weise', 'mit Erfahrung']"
ablehnend,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,du kannst Chance und Risiken gut abwägen,du kannst Chance und Risiken gut abwägen,hard-hearted,['du kannst Chance und Risiken gut abwägen']
Aggression,1.0,s,en,du argumentierst sachlich,du argumentierst sachlich,hard-hearted,['du argumentierst sachlich']
aggressiv,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,du argumentierst sachlich,du argumentierst sachlich,hard-hearted,['du argumentierst sachlich']
aktiv,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,unternehmensfreudig | beweglich | lebendig | die Initiative egreifend,unternehmensfreudig | beweglich | lebendig | die Initiative egreifend,rough,"['unternehmensfreudig', 'beweglich', 'lebendig', 'die Initiative egreifend']"
allein,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive,"['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']"
alleinstehend,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,du setzt gerne deine Kompetenz ein | du fokussierst dich gerne auf deine Aufgaben,du setzt gerne deine Kompetenz ein | du fokussierst dich gerne auf deine Aufgaben,competitive,"['du setzt gerne deine Kompetenz ein', 'du fokussierst dich gerne auf deine Aufgaben']"
ambitiös,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Freude über Erreichung von Milestones | eifrig | fleissig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,Freude über Erreichung von Milestones | eifrig | fleissig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,competitive,"['Freude über Erreichung von Milestones', 'eifrig', 'fleissig', 'gerne eine Vision umsetzen', 'enthusiastisch bei der Umsetzung unserer Ziele']"
