Lemma,Word_Type,Category,Primary_subcategory
affectionate,a,inclusive,communal
agree,v,inclusive,communal
agreeable,a,inclusive,communal
care,s,inclusive,communal
cheer,v,inclusive,communal
cheerful,a,inclusive,communal
child,s,inclusive,communal
collaborate,v,inclusive,communal
collaboration,s,inclusive,communal
collaborative,a,inclusive,communal
commit,v,inclusive,communal
communal,a,inclusive,communal
communicate,v,inclusive,communal
communication,s,inclusive,communal
communicative,a,inclusive,communal
community,s,inclusive,communal
compassion,s,inclusive,communal
compassionate,a,inclusive,communal
connect,v,inclusive,communal
connection,s,inclusive,communal
considerate,a,inclusive,communal
cooperate,v,inclusive,communal
cooperation,s,inclusive,communal
cooperative,a,inclusive,communal
create,v,inclusive,communal
creative,a,inclusive,communal
creativity,s,inclusive,communal
curious,a,inclusive,communal
depend,v,inclusive,communal
dependability,s,inclusive,communal
dependable,a,inclusive,communal
discuss,v,inclusive,communal
discussion,s,inclusive,communal
do one's share,v||s,inclusive,communal
emotion,s,inclusive,communal
emotional,a,inclusive,communal
empathetic,a,inclusive,communal
empathic,a,inclusive,communal
empathize,v,inclusive,communal
empathy,s,inclusive,communal
engage,v,inclusive,communal
engagement,s,inclusive,communal
enthuse,v,inclusive,communal
enthusiasm,s,inclusive,communal
enthusiast,s,inclusive,communal
enthusiastic,a,inclusive,communal
faithful,a,inclusive,communal
feel,v,inclusive,communal
flatter,v,inclusive,communal
flattering,=a,inclusive,communal
gentle,a,inclusive,communal
grow,v,inclusive,communal
help,v,inclusive,communal
helpful,a,inclusive,communal
honest,a,inclusive,communal
honesty,s,inclusive,communal
impactful,a,inclusive,communal
initiative,s,inclusive,communal
inter-dependence,s,inclusive,communal
inter-dependent,a,inclusive,communal
inter-personal,a,inclusive,communal
interest,s,inclusive,communal
job-sharing,s,inclusive,communal
kind,a,inclusive,communal
kinship,s,inclusive,communal
learn,v,inclusive,communal
learner,s,inclusive,communal
loyal,a,inclusive,communal
loyalty,s,inclusive,communal
maintain,v,inclusive,communal
mediate,v,inclusive,communal
mediation,s,inclusive,communal
mentoring,s,inclusive,communal
modest,a,inclusive,communal
modesty,s,inclusive,communal
moral,s,inclusive,communal
motivate,v,inclusive,communal
motivation,s,inclusive,communal
need,v,inclusive,communal
nurture,v,inclusive,communal
part time,a,inclusive,communal
participate,v,inclusive,communal
pleasant,a,inclusive,communal
please,v,inclusive,communal
polite,a,inclusive,communal
precise,a,inclusive,communal
precision,s,inclusive,communal
quiet,a,inclusive,communal
reliable,a,inclusive,communal
request,s,inclusive,communal
resilience,s,inclusive,communal
resilient,a,inclusive,communal
respond,v,inclusive,communal
responsibility,s,inclusive,communal
responsible,a,inclusive,communal
responsive,a,inclusive,communal
sensitive,a,inclusive,communal
sensitivity,s,inclusive,communal
servant leader,~s|s,inclusive,communal
servant leadership,~s|s,inclusive,communal
share,v,inclusive,communal
sharing,s,inclusive,communal
steadfast,a,inclusive,communal
support,v,inclusive,communal
supportive,a,inclusive,communal
sustainable,a,inclusive,communal
sympathetic,a,inclusive,communal
sympathize,v,inclusive,communal
sympathy,s,inclusive,communal
team,s,inclusive,communal
tender,a,inclusive,communal
thoughtful,a,inclusive,communal
together,a,inclusive,communal
trust,v,inclusive,communal
trustworthy,a,inclusive,communal
understand,v,inclusive,communal
understanding,=a,inclusive,communal
warm,a,inclusive,communal
warmth,s,inclusive,communal
yield,v,inclusive,communal
accessibility,s,inclusive,d_and_i
affinity group,~s|s,inclusive,d_and_i
ages,s,inclusive,d_and_i
ally,s,inclusive,d_and_i
amplification,s,inclusive,d_and_i
belief,s,inclusive,d_and_i
belong,v,inclusive,d_and_i
cis-gender,a,inclusive,d_and_i
cis-gendered,=a,inclusive,d_and_i
code-switching,s,inclusive,d_and_i
culture,s,inclusive,d_and_i
different background,a|s,inclusive,d_and_i
discrimination,s,inclusive,d_and_i
diverse,a,inclusive,d_and_i
diverse perspectives,a|s,inclusive,d_and_i
diversify,s,inclusive,d_and_i
diversity,s,inclusive,d_and_i
enby,a,inclusive,d_and_i
equality,s,inclusive,d_and_i
equity,s,inclusive,d_and_i
fair,a,inclusive,d_and_i
friendly,a,inclusive,d_and_i
fulfilling,a,inclusive,d_and_i
gender identity,s|s,inclusive,d_and_i
happy,a,inclusive,d_and_i
identity,s,inclusive,d_and_i
implicit bias,a|s,inclusive,d_and_i
impostor syndrome,=s|=s,inclusive,d_and_i
inclusify,s,inclusive,d_and_i
inclusion,s,inclusive,d_and_i
inclusive,a,inclusive,d_and_i
inclusively,adv,inclusive,d_and_i
integrity,s,inclusive,d_and_i
intersectionality,s,inclusive,d_and_i
meaningful,a,inclusive,d_and_i
micro-aggression,s,inclusive,d_and_i
of all ages,||=s,inclusive,d_and_i
of all beliefs,||=s,inclusive,d_and_i
of all religions,||=s,inclusive,d_and_i
of all sexual orientations,||a|=s,inclusive,d_and_i
relaxed,a,inclusive,d_and_i
religion,s,inclusive,d_and_i
respect,s,inclusive,d_and_i
respectful,a,inclusive,d_and_i
safe,a,inclusive,d_and_i
sexual orientation,a|s,inclusive,d_and_i
under-represented,a,inclusive,d_and_i
absorbed,=a,inclusive,emotional_security
alert,a,inclusive,emotional_security
amazed,=a,inclusive,emotional_security
amused,=a,inclusive,emotional_security
animated,=a,inclusive,emotional_security
appreciative,a,inclusive,emotional_security
ardent,a,inclusive,emotional_security
aroused,=a,inclusive,emotional_security
astonished,=a,inclusive,emotional_security
awed,=a,inclusive,emotional_security
blissful,a,inclusive,emotional_security
calm,a,inclusive,emotional_security
centered,=a,inclusive,emotional_security
clear-headed,=a,inclusive,emotional_security
comfortable,a,inclusive,emotional_security
content,a,inclusive,emotional_security
dazzled,=a,inclusive,emotional_security
delighted,=a,inclusive,emotional_security
ecstatic,a,inclusive,emotional_security
elated,=a,inclusive,emotional_security
empowered,=a,inclusive,emotional_security
enchanted,=a,inclusive,emotional_security
encouraged,=a,inclusive,emotional_security
energetic,a,inclusive,emotional_security
engaged,=a,inclusive,emotional_security
engrossed,=a,inclusive,emotional_security
enlivened,=a,inclusive,emotional_security
enthralled,=a,inclusive,emotional_security
equanimous,a,inclusive,emotional_security
excited,=a,inclusive,emotional_security
exhilarated,=a,inclusive,emotional_security
expectant,a,inclusive,emotional_security
exuberant,a,inclusive,emotional_security
fascinated,=a,inclusive,emotional_security
fulfilled,=a,inclusive,emotional_security
giddy,a,inclusive,emotional_security
glad,a,inclusive,emotional_security
grateful,a,inclusive,emotional_security
hopeful,a,inclusive,emotional_security
inspired,=a,inclusive,emotional_security
interested,=a,inclusive,emotional_security
intrigued,=a,inclusive,emotional_security
