Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
AIDS victim,s,unconscious_bias,medical_state,medical_state,"['person with AIDS(...)', 'person living with HIV(...)']",['people with AIDS(...)'],"['person with AIDS(...)', 'person living with HIV(...)']"
Are you blind?,i,unconscious_bias,vision,cultural,"[""Don't you see?"", ""Don't you realize?"", ""Didn't you notice?"", ""Didn't you pick up on that?""]",[],"[""Don't you see?"", ""Don't you realize?"", ""Didn't you notice?"", ""Didn't you pick up on that?""]"
Asperger’s Syndrome,s,unconscious_bias,ability,ability,"['Autistic', 'neurodivergent', 'being on the autism spectrum', '--- only if the person prefers the term, or when discussing historical context', 'person who has autism(...)', 'someone with autism(...)']","['--- only if the person prefers the term, or when discussing historical context']","['--- only if the person prefers the term, or when discussing historical context', 'being on the autism spectrum', 'Autistic', 'neurodivergent', 'person who has autism(...)', 'someone with autism(...)']"
Bible basher,s,unconscious_bias,belief,belief,['-'],['-'],['-']
Bible thumper,s,unconscious_bias,belief,belief,['-'],['-'],['-']
Black Belt,s,unconscious_bias,sports_terms,sports_terms,"['skilled person', 'very proficient person', 'resourceful person', 'they', 'skilled people', 'very proficient people', 'resourceful people']","['skilled people', 'very proficient people', 'resourceful people']","['skilled person', 'very proficient person', 'resourceful person', 'they', 'skilled people', 'very proficient people', 'resourceful people']"
Cervix haver,s,unconscious_bias,gender_identity,gender_identity,['person with a cervix(...)'],['people with a cervix(...)'],['person with a cervix(...)']
Christmas days off,i,unconscious_bias,belief,belief,['holiday days off\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t'],[],['holiday days off\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']
Describe your symptoms,i,unconscious_bias,medical_state,medical_state,['How does ((condition or disability)) manifest for you?'],[],['How does ((condition or disability)) manifest for you?']
HIV infected,a,unconscious_bias,medical_state,medical_state,"['person with AIDS(...)', 'person living with HIV(...)']",['people with AIDS(...)'],"['person with AIDS(...)', 'person living with HIV(...)']"
Hail Mary,s,unconscious_bias,sports_terms,sports_terms,['last-ditch effort'],[],['last-ditch effort']
Happy Easter,a+s,unconscious_bias,belief,belief,"['Sending you spring wishes', 'May your long weekend be filled with joy', 'A great start into a happy spring season', 'Sending you spring wishes', 'Happy holidays']",[],"['Sending you spring wishes', 'May your long weekend be filled with joy', 'A great start into a happy spring season', 'Sending you spring wishes', 'Happy holidays']"
IQ test,=s,unconscious_bias,cognitive_perception,cognitive_perception,"['aptitude test', 'deliberative test', 'learning skills and potential test', 'logic, reasoning, and problem solving test', 'aptitude tests', 'deliberative tests', 'learning skills and potential tests', 'logic, reasoning, and problem solving tests']","['aptitude tests', 'deliberative tests', 'learning skills and potential tests', 'logic, reasoning, and problem solving tests']","['aptitude test', 'deliberative test', 'learning skills and potential test', 'logic, reasoning, and problem solving test', 'aptitude tests', 'deliberative tests', 'learning skills and potential tests', 'logic, reasoning, and problem solving tests']"
Jesus freak,s,unconscious_bias,belief,belief,['-'],['-'],['-']
Merry Christmas,a+s,unconscious_bias,belief,belief,"[""Season's greeting"", '(Have) a great winterbreak', 'Wishing you a winter break filled with joy, love, and laughter', 'Best wishes for the holidays', 'A very happy New Year', '--- ask about their traditions, if possible', 'I hope you have a delightful winter break with friends and loved ones(...)']","['--- ask about their traditions, if possible']","['--- ask about their traditions, if possible', ""Season's greeting"", '(Have) a great winterbreak', 'Wishing you a winter break filled with joy, love, and laughter', 'Best wishes for the holidays', 'A very happy New Year', 'I hope you have a delightful winter break with friends and loved ones(...)']"
