Lemma,Word_Type,Category,Primary_subcategory,Alt_split
Gay Lobby,s,openly_discriminating,homophobia,['-']
Homo erectus,s,openly_discriminating,homophobia,['-']
LGBT Lobby,s,openly_discriminating,homophobia,['-']
LGBT Mafia,s,openly_discriminating,homophobia,['-']
LGBTIQ Lobby,s,openly_discriminating,homophobia,['-']
Lippenstift Lesbe,s,openly_discriminating,homophobia,['-']
Ober Diva,s,openly_discriminating,sexism,['-']
Schrank Lesbe,s,openly_discriminating,homophobia,['-']
Trans Lobby,s,openly_discriminating,transphobia,['-']
alte Jungfer,a+s,openly_discriminating,sexism,['-']
alte Schachtel,a+s,openly_discriminating,sexism,['-']
vom anderen Ufer,i,openly_discriminating,homophobia,"['-', 'schwul', 'lesbisch']"
warmer Bruder,a+s,openly_discriminating,homophobia,['-']
