Lemma,Word_Type,Category,Primary_subcategory
affinity group,s,inclusive,d_and_i
cis gender,a,inclusive,d_and_i
cis gendered,=a,inclusive,d_and_i
clear headed,=a,inclusive,emotional_security
code switching,s,inclusive,d_and_i
different background,s,inclusive,d_and_i
diverse perspectives,i,inclusive,d_and_i
do one's share,i,inclusive,communal
gender identity,s,inclusive,d_and_i
implicit bias,i,inclusive,d_and_i
impostor syndrome,s,inclusive,d_and_i
inter dependence,s,inclusive,communal
inter dependent,a,inclusive,communal
inter personal,a,inclusive,communal
job sharing,s,inclusive,communal
micro aggression,s,inclusive,d_and_i
of all ages,s,inclusive,d_and_i
of all beliefs,s,inclusive,d_and_i
of all religions,s,inclusive,d_and_i
of all sexual orientations,s,inclusive,d_and_i
open hearted,=a,inclusive,emotional_security
part time,a,inclusive,communal
servant leader,s,inclusive,communal
servant leadership,s,inclusive,communal
sexual orientation,s,inclusive,d_and_i
under represented,a,inclusive,d_and_i
