EmptyWords-German,is active,Wordtype,Forms,Alternatives-German in job title | role | requirements,Alternatives-German in company & company culture
etc.,1,,,-,-
hoch motiviert,1,,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,-,-
o.ä.,1,,,-,-
quer denken,1,,,-,-
state-of-the-art,1,,,-,-
Team-player,1,,,Zusammenarbeit über das eigene Streben stellen,Team | Teammitglieder | Teamplayer*innen
think out of the box,1,,,-,-
u.a.,1,,,-,-
u.ä.,1,,,-,-
unkonventionell denken,1,,,-,-
vor allem,1,,,-,-
