Lemma,subcategory,Lemma,is_active,Wordtype,Forms,Alternative_Singular,Alternative_Plural,Alternative_Singular_split,Alternative_Plural_split
flache Hierarchie,vague_ambiguous,flach,1,a+s,,kurze Entscheidungswege | verantwortliche und selbstorganisierte Arbeitsweise | Raum für Eigeninitiative | kurze Kommunikationswege | Mitgestaltungsmöglichkeiten für Mitarbeitende | Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten,-,"['kurze Entscheidungswege', 'verantwortliche und selbstorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']",['-']
flacher Hierarchie,vague_ambiguous,flach,1,a+s,,kurze Entscheidungswege | verantwortliche und selbstorganisierte Arbeitsweise | Raum für Eigeninitiative | kurze Kommunikationswege | Mitgestaltungsmöglichkeiten für Mitarbeitende | Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten,-,"['kurze Entscheidungswege', 'verantwortliche und selbstorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']",['-']
flachen Hierarchie,vague_ambiguous,flach,1,a+s,,kurze Entscheidungswege | verantwortliche und selbstorganisierte Arbeitsweise | Raum für Eigeninitiative | kurze Kommunikationswege | Mitgestaltungsmöglichkeiten für Mitarbeitende | Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten,-,"['kurze Entscheidungswege', 'verantwortliche und selbstorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']",['-']
flache Hierarchien,vague_ambiguous,flach,1,a+s,,-,kurze Entscheidungswege | verantwortliche und selbstorganisierte Arbeitsweise | Raum für Eigeninitiative | kurze Kommunikationswege | Mitgestaltungsmöglichkeiten für Mitarbeitende | Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten,['-'],"['kurze Entscheidungswege', 'verantwortliche und selbstorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']"
flachen Hierarchien,vague_ambiguous,flach,1,a+s,,-,kurze Entscheidungswege | verantwortliche und selbstorganisierte Arbeitsweise | Raum für Eigeninitiative | kurze Kommunikationswege | Mitgestaltungsmöglichkeiten für Mitarbeitende | Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten,['-'],"['kurze Entscheidungswege', 'verantwortliche und selbstorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']"
flache Organisation,vague_ambiguous,flach,1,a+s,,kurze Entscheidungswege | verantwortliche und selbstorganisierte Arbeitsweise | Raum für Eigeninitiative | kurze Kommunikationswege | Mitgestaltungsmöglichkeiten für Mitarbeitende | Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten,-,"['kurze Entscheidungswege', 'verantwortliche und selbstorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']",['-']
flacher Organisation,vague_ambiguous,flach,1,a+s,,kurze Entscheidungswege | verantwortliche und selbstorganisierte Arbeitsweise | Raum für Eigeninitiative | kurze Kommunikationswege | Mitgestaltungsmöglichkeiten für Mitarbeitende | Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten,-,"['kurze Entscheidungswege', 'verantwortliche und selbstorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']",['-']
flachen Organisation,vague_ambiguous,flach,1,a+s,,kurze Entscheidungswege | verantwortliche und selbstorganisierte Arbeitsweise | Raum für Eigeninitiative | kurze Kommunikationswege | Mitgestaltungsmöglichkeiten für Mitarbeitende | Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten,-,"['kurze Entscheidungswege', 'verantwortliche und selbstorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']",['-']
flache Organisationen,vague_ambiguous,flach,1,a+s,,-,kurze Entscheidungswege | verantwortliche und selbstorganisierte Arbeitsweise | Raum für Eigeninitiative | kurze Kommunikationswege | Mitgestaltungsmöglichkeiten für Mitarbeitende | Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten,['-'],"['kurze Entscheidungswege', 'verantwortliche und selbstorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']"
flachen Organisationen,vague_ambiguous,flach,1,a+s,,-,kurze Entscheidungswege | verantwortliche und selbstorganisierte Arbeitsweise | Raum für Eigeninitiative | kurze Kommunikationswege | Mitgestaltungsmöglichkeiten für Mitarbeitende | Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten,['-'],"['kurze Entscheidungswege', 'verantwortliche und selbstorganisierte Arbeitsweise', 'Raum für Eigeninitiative', 'kurze Kommunikationswege', 'Mitgestaltungsmöglichkeiten für Mitarbeitende', 'Betriebsebene mit viel Kompetenzen und Entscheidungsmöglichkeiten']"
hoch motiviert,vague_ambiguous,motiviert,1,a,,"fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","fähig zur Eigeninitiative | bereit, sich zu engagieren | setzt sich selbst erreichbare Ziele | bereit, sich einzusetzen","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']","['fähig zur Eigeninitiative', 'bereit, sich zu engagieren', 'setzt sich selbst erreichbare Ziele', 'bereit, sich einzusetzen']"
