Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Altersspanne,s,unconscious_bias,age,"['-', 'altersbegrenzt auf(...)']",['-'],"['-', 'altersbegrenzt auf(...)']"
Androgynie,s,unconscious_bias,gender_identity,"['Aussehen, das feminin und maskulin zugleich ist', 'Anmutung, die Geschlechterstereotypen verwischt', 'Erscheinung, die weibliche und männliche Merkmale vereint']",[''],"['Aussehen, das feminin und maskulin zugleich ist', 'Anmutung, die Geschlechterstereotypen verwischt', 'Erscheinung, die weibliche und männliche Merkmale vereint']"
Angriff,s,unconscious_bias,agentic,"['Aufforderung', 'Hinterfragen', 'Infragestellen', 'Austesten', 'Ermahnung', 'Diskriminierung', 'Verletzung', 'Kränkung', 'Prüfen auf auf Glaubwürdigkeit (Intention, Gründe, ...)']",[''],"['Aufforderung', 'Hinterfragen', 'Infragestellen', 'Austesten', 'Ermahnung', 'Diskriminierung', 'Verletzung', 'Kränkung', 'Prüfen auf auf Glaubwürdigkeit (Intention, Gründe, ...)']"
Armutsflüchtling,s,unconscious_bias,migration,[''],[''],['']
Asoziale,s,unconscious_bias,classism,"['ungerecht', 'unverhältnismäßig', 'fies', 'unredlich', 'gemein', '\n unsolidarisch', 'arm', 'finanziell schwach']",[''],"['ungerecht', 'unverhältnismäßig', 'fies', 'unredlich', 'gemein', '\n unsolidarisch', 'arm', 'finanziell schwach']"
Asozialer,s,unconscious_bias,classism,"['ungerecht', 'unverhältnismäßig', 'fies', 'unredlich', 'gemein', '\n unsolidarisch', 'arm', 'finanziell schwach']",[''],"['ungerecht', 'unverhältnismäßig', 'fies', 'unredlich', 'gemein', '\n unsolidarisch', 'arm', 'finanziell schwach']"
Asylmissbrauch,s,unconscious_bias,migration,"['Asylsuche', 'Asylbetrug --- nur bei Straftat einer Einzelperson']",[''],"['Asylsuche', 'Asylbetrug --- nur bei Straftat einer Einzelperson']"
Ausdauer,s,unconscious_bias,agentic,"['Ruhe', 'Geduld', 'Besonnenheit', 'einen langen Atem haben(...)', 'Fähigkeit, an Dingen dranzubleiben,(...)', 'Neigung zu langfristigem Planen(...)']",[''],"['Ruhe', 'Geduld', 'Besonnenheit', 'einen langen Atem haben(...)', 'Fähigkeit, an Dingen dranzubleiben,(...)', 'Neigung zu langfristigem Planen(...)']"
Auseinandersetzung,s,unconscious_bias,agentic,"['Meinungsaustausch', 'Gedankenaustausch', 'Diskussion', 'Austausch', 'Austausch als Lernchance (...)']",[''],"['Meinungsaustausch', 'Gedankenaustausch', 'Diskussion', 'Austausch', 'Austausch als Lernchance (...)']"
Ausländerfeindlichkeit,s,unconscious_bias,migration,"['Rassismus', 'Neonazismus', 'Rechtsextremismus', 'Rechtsterrorismus', 'Hasskriminalität']",[''],"['Rassismus', 'Neonazismus', 'Rechtsextremismus', 'Rechtsterrorismus', 'Hasskriminalität']"
Ausländerhass,s,unconscious_bias,migration,"['Rassismus', 'Neonazismus', 'Rechtsextremismus', 'Rechtsterrorismus', 'Hasskriminalität']",[''],"['Rassismus', 'Neonazismus', 'Rechtsextremismus', 'Rechtsterrorismus', 'Hasskriminalität']"
Ausländerkriminalität,s,unconscious_bias,migration,"['Kriminalität', '((Straftat))']",[''],"['Kriminalität', '((Straftat))']"
