Denominations-German,subcategory,is active,Wordtype,Forms,Alternative_Singular,Alternative_Plural,Lemma_spacy,Alternative_Singular_split,Alternative_Plural_split
Arbeitskollege,,1.0,s,n?,"Person, die im selben Team arbeitet | Teammitglied | Person, die im selben Unternehmen arbeitet | Person, die man von der Arbeit kennt | Arbeitskollegin : Arbeitskollege | Arbeitskolleg:in","Personen, die im selben Team arbeiten | Teammitglieder | Team | Personen, die im selben Unternehmen arbeiten | Personen, die man von der Arbeit kennt | Arbeitskolleginnen : Arbeitskollegen | Arbeitskolleg:innen",Arbeitskollege,"['Person, die im selben Team arbeitet', 'Teammitglied', 'Person, die im selben Unternehmen arbeitet', 'Person, die man von der Arbeit kennt', 'Arbeitskollegin : Arbeitskollege', 'Arbeitskolleg:in']","['Personen, die im selben Team arbeiten', 'Teammitglieder', 'Team', 'Personen, die im selben Unternehmen arbeiten', 'Personen, die man von der Arbeit kennt', 'Arbeitskolleginnen : Arbeitskollegen', 'Arbeitskolleg:innen']"
Chef,gendered_roles_hierachy,1.0,s,s?,"Person, die die Verantwortung trägt | entscheidungsbefugte Person | Person, die die Entscheidungen fällt | die vorgesetzte Person | Kopf (einer Agentur / Abteilung / Firma) | leitende Person | Leitungsperson | Leitung | Führungskraft | Vorgesetzte : Vorgesetzter | Vorgesetzt:e  | Chef:in","Personen, die die Verantwortung tragen | entscheidungsbefugte Personen | Personen, die die Entscheidungen fällen | die vorgesetzten Personen | Köpfe (einer Agentur / Abteilung / Firma) | Leitung | Führungskräfte | Vorgesetzte | Chef:innen",Chef,"['Person, die die Verantwortung trägt', 'entscheidungsbefugte Person', 'Person, die die Entscheidungen fällt', 'die vorgesetzte Person', 'Kopf (einer Agentur / Abteilung / Firma)', 'leitende Person', 'Leitungsperson', 'Leitung', 'Führungskraft', 'Vorgesetzte : Vorgesetzter', 'Vorgesetzt:e ', 'Chef:in']","['Personen, die die Verantwortung tragen', 'entscheidungsbefugte Personen', 'Personen, die die Entscheidungen fällen', 'die vorgesetzten Personen', 'Köpfe (einer Agentur / Abteilung / Firma)', 'Leitung', 'Führungskräfte', 'Vorgesetzte', 'Chef:innen']"
Boss,gendered_roles_hierachy,1.0,s,,"Person, die die Verantwortung trägt | entscheidungsbefugte Person | Person, die die Entscheidungen fällt | die vorgesetzte Person | Kopf (einer Agentur / Abteilung / Firma) | leitende Person | Leitungsperson | Leitung | Führungskraft | Vorgesetzte : Vorgesetzter | Vorgesetzt:e ","Personen, die die Verantwortung tragen | entscheidungsbefugte Personen | Personen, die die Entscheidungen fällen | die vorgesetzten Personen | Köpfe (einer Agentur / Abteilung / Firma) | leitende Personen | Leitungspersonen | Leitung | Führungskräfte | Vorgesetzte",Boss,"['Person, die die Verantwortung trägt', 'entscheidungsbefugte Person', 'Person, die die Entscheidungen fällt', 'die vorgesetzte Person', 'Kopf (einer Agentur / Abteilung / Firma)', 'leitende Person', 'Leitungsperson', 'Leitung', 'Führungskraft', 'Vorgesetzte : Vorgesetzter', 'Vorgesetzt:e ']","['Personen, die die Verantwortung tragen', 'entscheidungsbefugte Personen', 'Personen, die die Entscheidungen fällen', 'die vorgesetzten Personen', 'Köpfe (einer Agentur / Abteilung / Firma)', 'leitende Personen', 'Leitungspersonen', 'Leitung', 'Führungskräfte', 'Vorgesetzte']"
Generalist,gendered_roles_hierachy,1.0,s,(en)?,"Mensch, der vielseitig begabt ist | Multitalent | fachlich breit aufgestellter Mensch | Mensch, der vielseitig interessiert ist | Generalistin : Generalist | Generalist:innen",vielseitig begabte Menschen | Multitalente | fachlich breit aufgestelle Personen | vielseitig interessierte Menschen | Generalistinnen : Generalisten | Generalist:innen | Generalistinnen und Generalisten | fachlich breit ausgerichtete Personen ,Generalist,"['Mensch, der vielseitig begabt ist', 'Multitalent', 'fachlich breit aufgestellter Mensch', 'Mensch, der vielseitig interessiert ist', 'Generalistin : Generalist', 'Generalist:innen']","['vielseitig begabte Menschen', 'Multitalente', 'fachlich breit aufgestelle Personen', 'vielseitig interessierte Menschen', 'Generalistinnen : Generalisten', 'Generalist:innen', 'Generalistinnen und Generalisten', 'fachlich breit ausgerichtete Personen ']"
guy,gendered_denominations,1.0,s,s?,Kamerad:in | Freund:in | Kolleg:in,Team | Kolleg:innen | Freund:innen | Kamerad:innen,guy,"['Kamerad:in', 'Freund:in', 'Kolleg:in']","['Team', 'Kolleg:innen', 'Freund:innen', 'Kamerad:innen']"
Mann,,1.0,s,,Person,Personen | Leute,Mann,['Person'],"['Personen', 'Leute']"
Herr,,1.0,s,(en)?,Person,Personen | Leute,Herr,['Person'],"['Personen', 'Leute']"
manpower,gendered_roles_hierachy,1.0,s,,(menschliche) Arbeitskraft | Arbeitspotenzial | Erwerbsperson | Ressource,Arbeitskräfte | die Arbeit unserer Angestellten |  | Arbeitspotenzial | Erwerbspersonen | Personal | Ressourcen,manpower,"['(menschliche) Arbeitskraft', 'Arbeitspotenzial', 'Erwerbsperson', 'Ressource']","['Arbeitskräfte', 'die Arbeit unserer Angestellten', '', 'Arbeitspotenzial', 'Erwerbspersonen', 'Personal', 'Ressourcen']"
männlich,,1.0,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,bezüglich einer Person,,männlich,['bezüglich einer Person'],['']
Großkunde,,1.0,s,n?,"Groß-Account | Kundschaft, die in großem Umfang (Leistungen / Waren) bezieht | Klientel, die in großem Umfang (Leistungen / Waren) bezieht | Großkundin : Großkunde | Großkund:in","Kundschaft, die in großem Umfang (Leistungen / Waren) bezieht | Klientel, die in großem Umfang (Leistungen / Waren) bezieht | Großkundinnen : Großkunden | Großkund:innen | Großkundinnen und Großkunden | ",Großkunde,"['Groß-Account', 'Kundschaft, die in großem Umfang (Leistungen / Waren) bezieht', 'Klientel, die in großem Umfang (Leistungen / Waren) bezieht', 'Großkundin : Großkunde', 'Großkund:in']","['Kundschaft, die in großem Umfang (Leistungen / Waren) bezieht', 'Klientel, die in großem Umfang (Leistungen / Waren) bezieht', 'Großkundinnen : Großkunden', 'Großkund:innen', 'Großkundinnen und Großkunden', '']"
Kollege,,1.0,s,n?,"Person, die im selben Team arbeitet | Teammitglied | Person, die im selben Unternehmen arbeitet | Person, die man von der Arbeit kennt | Kollegin : Kollege | Kolleg:in","Kollegschaft | Team | Personen, die im selben Team arbeiten | Teammitglieder | Personen, die im selben Unternehmen arbeiten | Personen, die man von der Arbeit kennt | Kolleginnen : Kollegen | Kolleg:innen",Kollege,"['Person, die im selben Team arbeitet', 'Teammitglied', 'Person, die im selben Unternehmen arbeitet', 'Person, die man von der Arbeit kennt', 'Kollegin : Kollege', 'Kolleg:in']","['Kollegschaft', 'Team', 'Personen, die im selben Team arbeiten', 'Teammitglieder', 'Personen, die im selben Unternehmen arbeiten', 'Personen, die man von der Arbeit kennt', 'Kolleginnen : Kollegen', 'Kolleg:innen']"
Entwickler,,1.0,s,n?,Entwicklungsteam | Entwicklung | Entwicklerin : Entwickler | Entwickler:in,Entwicklung | Entwicklungsteam | Entwicklerinnen : Entwickler | Entwickler:innen | Entwicklerinnen und Entwickler,Entwickler,"['Entwicklungsteam', 'Entwicklung', 'Entwicklerin : Entwickler', 'Entwickler:in']","['Entwicklung', 'Entwicklungsteam', 'Entwicklerinnen : Entwickler', 'Entwickler:innen', 'Entwicklerinnen und Entwickler']"
Designer,,1.0,s,n?,Design | Designerin : Designer | Designer:in,Designteam | Designschaffende | Designerinnen : Designer | Designer:innen | Designerinnen und Designer,Designer,"['Design', 'Designerin : Designer', 'Designer:in']","['Designteam', 'Designschaffende', 'Designerinnen : Designer', 'Designer:innen', 'Designerinnen und Designer']"
Partner,,1.0,s,n?,Partnerin : Partner | Partner:in,Partnerinnen und Partner | Partnerschaften,Partner,"['Partnerin : Partner', 'Partner:in']","['Partnerinnen und Partner', 'Partnerschaften']"
Researcher,,1.0,s,n?,"Person, die recherchiert | Person, die forscht | Forscherin : Foscher | Forscher:in",Researchteam | Recherchierende | Forschende | Forscherinnen : Forscher | Forscher:innen | Forscherinnen und Forscher,Researcher,"['Person, die recherchiert', 'Person, die forscht', 'Forscherin : Foscher', 'Forscher:in']","['Researchteam', 'Recherchierende', 'Forschende', 'Forscherinnen : Forscher', 'Forscher:innen', 'Forscherinnen und Forscher']"
Analyst,,1.0,s,(en)?,"Person, die analysiert | börsenbeobachtende Person | Börsenfachkraft | Analystin : Analyst | Analyst:in",Analysierende | Börsenbeobachtende | Analystinnen : Analysten | Analyst:innen | Analystinnen und Analysten,Analyst,"['Person, die analysiert', 'börsenbeobachtende Person', 'Börsenfachkraft', 'Analystin : Analyst', 'Analyst:in']","['Analysierende', 'Börsenbeobachtende', 'Analystinnen : Analysten', 'Analyst:innen', 'Analystinnen und Analysten']"
Geschäftsleiter,,1.0,s,n?,Geschäftsleiterin : Geschäftsleiter | Geschäftsleiter:in,Geschäftsleitung | Geschäftsleiterinnen : Geschäftsleiter | Geschäftsleiterinnen und Geschäftsleiter,Geschäftsleiter,"['Geschäftsleiterin : Geschäftsleiter', 'Geschäftsleiter:in']","['Geschäftsleitung', 'Geschäftsleiterinnen : Geschäftsleiter', 'Geschäftsleiterinnen und Geschäftsleiter']"
Geschäftsführer,,,,,Geschäftsführerin : Geschäftsführer | Geschäftsführer:in,Geschäftsleitung | Geschäftsführerinnen : Geschäftsführer | Geschäftsführerinnen und Geschäftsführer,Geschäftsführer,"['Geschäftsführerin : Geschäftsführer', 'Geschäftsführer:in']","['Geschäftsleitung', 'Geschäftsführerinnen : Geschäftsführer', 'Geschäftsführerinnen und Geschäftsführer']"
Student,,1.0,s,(en)?,"jemand, der (noch) studiert | Studi | Mitglied der Studentenschaft | Studentinnen : Studenten | Student:in","Personen, die studieren | Studentenschaft | Studierende | Studis | Studentinnen : Studenten | Student:innen | Studentinnen und Studenten",Student,"['jemand, der (noch) studiert', 'Studi', 'Mitglied der Studentenschaft', 'Studentinnen : Studenten', 'Student:in']","['Personen, die studieren', 'Studentenschaft', 'Studierende', 'Studis', 'Studentinnen : Studenten', 'Student:innen', 'Studentinnen und Studenten']"
Lehrling,,1.0,s,e?,Nachwuchskraft | Person in Ausbildung | auszubildende Person,Lernende | Auszubildende,Lehrling,"['Nachwuchskraft', 'Person in Ausbildung', 'auszubildende Person']","['Lernende', 'Auszubildende']"
Lehrtochter,,,,(tochter|töchter)?,Nachwuchskraft | Person in Ausbildung | auszubildende Person,Lernende | Auszubildende,Lehrtochter,"['Nachwuchskraft', 'Person in Ausbildung', 'auszubildende Person']","['Lernende', 'Auszubildende']"
Kandidat,,1.0,s,(en)?,"Person, die kandidiert | Kandidatin : Kandidat | Kandidat:in",Kandidierende | Kandidatinnen : Kandidaten | Kandidat:innen | Kandidatinnen und Kandidaten,Kandidat,"['Person, die kandidiert', 'Kandidatin : Kandidat', 'Kandidat:in']","['Kandidierende', 'Kandidatinnen : Kandidaten', 'Kandidat:innen', 'Kandidatinnen und Kandidaten']"
Arbeitgeber,,1.0,s,n?,"Person (auch Firma, Einrichtung, etc.), die Arbeitsplätze zur Verfügung stellt | Arbeitgeberin (wenn GmbH, Einzelfirma oder AG) | arbeitgebendes Unternehmen | Arbeitgeberin : Arbeitgeber | Arbeitgeber:in","Arbeitgebende | Personen/Firmen/Einrichtungen, die Arbeitsplätze zur Verfügung stellen | Arbeitgeberinnen (wenn GmbH, Einzelfirma oder AG) | arbeitgebende Unternehmen | Betriebe | Arbeitgeberinnen : Arbeitgeber | Arbeitgeber:innen | Arbeitgeberinnen und Arbeitgeber",Arbeitgeber,"['Person (auch Firma, Einrichtung, etc.), die Arbeitsplätze zur Verfügung stellt', 'Arbeitgeberin (wenn GmbH, Einzelfirma oder AG)', 'arbeitgebendes Unternehmen', 'Arbeitgeberin : Arbeitgeber', 'Arbeitgeber:in']","['Arbeitgebende', 'Personen/Firmen/Einrichtungen, die Arbeitsplätze zur Verfügung stellen', 'Arbeitgeberinnen (wenn GmbH, Einzelfirma oder AG)', 'arbeitgebende Unternehmen', 'Betriebe', 'Arbeitgeberinnen : Arbeitgeber', 'Arbeitgeber:innen', 'Arbeitgeberinnen und Arbeitgeber']"
Vermittler,,1.0,s,s?,vermittelnde Person | Vermittlerin : Vermittler | Vermittler:in,Vermittlung | Vermittler:innen | Vermittlerinnen und Vermittler,Vermittler,"['vermittelnde Person', 'Vermittlerin : Vermittler', 'Vermittler:in']","['Vermittlung', 'Vermittler:innen', 'Vermittlerinnen und Vermittler']"
Brückenbauer,,1.0,s,s?,"vermittelnde Person | Person, die Brücken baut | Brückenbauer:in",Brückenbauer:innen | Brückenbauerinnen und Brückenbauer ,Brückenbauer,"['vermittelnde Person', 'Person, die Brücken baut', 'Brückenbauer:in']","['Brückenbauer:innen', 'Brückenbauerinnen und Brückenbauer ']"
Botschafter,,1.0,s,s?,vermittelnde Person | vertretende Person | Botschafter:in,Vertretung | Botschafter:innen | Botschafterinnen und Botschafter ,Botschafter,"['vermittelnde Person', 'vertretende Person', 'Botschafter:in']","['Vertretung', 'Botschafter:innen', 'Botschafterinnen und Botschafter ']"
Lieferant,,1.0,s,en?,Lieferfirma | lieferndes Unternehmen | Lieferunternehmen,Lieferfirmen | liefernde Unternehmen | Lieferunternehmen | Liefernde | Zustellende,Lieferant,"['Lieferfirma', 'lieferndes Unternehmen', 'Lieferunternehmen']","['Lieferfirmen', 'liefernde Unternehmen', 'Lieferunternehmen', 'Liefernde', 'Zustellende']"
Dienstleister,,1.0,s,s?,dienstleistende Person | Person im Dientleistungssektor | Dienstleisterin : Dienstleiter | Dienstleister:in,Dienstleistende | Dienstleistungsbetriebe | dienstleistende Personen | Personen im Dienstleistungssektor | Dienstleisterinnen : Dienstleister | Dienstleister:innen | Dienstleisterinnen und Dienstleister,Dienstleister,"['dienstleistende Person', 'Person im Dientleistungssektor', 'Dienstleisterin : Dienstleiter', 'Dienstleister:in']","['Dienstleistende', 'Dienstleistungsbetriebe', 'dienstleistende Personen', 'Personen im Dienstleistungssektor', 'Dienstleisterinnen : Dienstleister', 'Dienstleister:innen', 'Dienstleisterinnen und Dienstleister']"
Kunde,,,,(e|en),Kundschaft | Kundin : Kunde | Kund:in,Kundschaft | Kundinnen : Kunden | Kund:innen | Kundinnen und Kunden,Kunde,"['Kundschaft', 'Kundin : Kunde', 'Kund:in']","['Kundschaft', 'Kundinnen : Kunden', 'Kund:innen', 'Kundinnen und Kunden']"
Rangierer,,,,,Rangiererin : Rangierer | Rangierer:in | Rangierperson,Rangierpersonal | Rangiererinnen : Rangierer | Rangiererinnen | Rangiererinnen und Rangierer,Rangierer,"['Rangiererin : Rangierer', 'Rangierer:in', 'Rangierperson']","['Rangierpersonal', 'Rangiererinnen : Rangierer', 'Rangiererinnen', 'Rangiererinnen und Rangierer']"
Rangierbegleiter,,,,,Rangierperson | Rangierbegleitung | Rangierbegleiterin : Rangierbegleiter | Rangierbegleiter:in,Rangierbegleitende | Rangierbegleitung | Rangierbegleiterinnen : Rangierbegleiter | Rangierbegleiter:in | | Rangierbegleiterinnen und Rangierbegleiter,Rangierbegleiter,"['Rangierperson', 'Rangierbegleitung', 'Rangierbegleiterin : Rangierbegleiter', 'Rangierbegleiter:in']","['Rangierbegleitende', 'Rangierbegleitung', 'Rangierbegleiterinnen : Rangierbegleiter', 'Rangierbegleiter:in', '| Rangierbegleiterinnen und Rangierbegleiter']"
Mitarbeiter,,,,,Mitarbeiterin : Mitarbeiter | Mitarbeiter:in ,Personal | Mitarbeiterschaft | Belegschaft | Kollegschaft | Mitarbeitende | Mitarbeiterinnen : Mitarbeiter | Mitarbeiter:innen | Mitarbeiterinnen und Mitarbeiter,Mitarbeiter,"['Mitarbeiterin : Mitarbeiter', 'Mitarbeiter:in ']","['Personal', 'Mitarbeiterschaft', 'Belegschaft', 'Kollegschaft', 'Mitarbeitende', 'Mitarbeiterinnen : Mitarbeiter', 'Mitarbeiter:innen', 'Mitarbeiterinnen und Mitarbeiter']"
Fachmann,,,,(mann | männer),Fachperson | Fachfrau : Fachmann | Fachfrau:mann,Fachpersonal | Fachfrauen : Fachmänner | Fachfrauen:männer | Fachfrauen und Fachmänner,Fachmann,"['Fachperson', 'Fachfrau : Fachmann', 'Fachfrau:mann']","['Fachpersonal', 'Fachfrauen : Fachmänner', 'Fachfrauen:männer', 'Fachfrauen und Fachmänner']"
Leiter,,,,,Leiterin : Leiter | Leiter:in,Leitung | Leiterinnen : Leiter | Leiter:innen | Leiterinnen und Leiter,Leiter,"['Leiterin : Leiter', 'Leiter:in']","['Leitung', 'Leiterinnen : Leiter', 'Leiter:innen', 'Leiterinnen und Leiter']"
Fahrzeugtechniker,,,,,Fahrzeugtechnikerin : Fahrzeugtechniker | Fahrzeugtechniker:in,Fahrzeugtechnikerinnen : Fahrzeugtechniker | Fahrzeugtechniker:innen | Fahrzeugtechnikerinnen und Fahrzeugtechniker,Fahrzeugtechniker,"['Fahrzeugtechnikerin : Fahrzeugtechniker', 'Fahrzeugtechniker:in']","['Fahrzeugtechnikerinnen : Fahrzeugtechniker', 'Fahrzeugtechniker:innen', 'Fahrzeugtechnikerinnen und Fahrzeugtechniker']"
Nutzer,,,,,Nutzerin : Nutzer | Nutzer:in,Nutzende | Nutzerinnen : Nutzer | Nutzer:innen | Nutzerinnen und Nutzer,Nutzer,"['Nutzerin : Nutzer', 'Nutzer:in']","['Nutzende', 'Nutzerinnen : Nutzer', 'Nutzer:innen', 'Nutzerinnen und Nutzer']"
Besucher,,,,,Besucherin : Besucher | Besucher:in,Gäste | Besucherinnen : Besucher |  | Besucher:innen | Besucherinnen und Besucher,Besucher,"['Besucherin : Besucher', 'Besucher:in']","['Gäste', 'Besucherinnen : Besucher', '', 'Besucher:innen', 'Besucherinnen und Besucher']"
Vertreter,,,,,Vertreterin : Vertreter | Vertreter:in,Vertretende | Vertretung | Verteterinnen : Vertreter | Vertreter:innen,Vertreter,"['Vertreterin : Vertreter', 'Vertreter:in']","['Vertretende', 'Vertretung', 'Verteterinnen : Vertreter', 'Vertreter:innen']"
Servicetechniker,,,,,Service | Servicetechnikerin : Servicetechniker | Servicetechniker:in,Service | Servicepersonal | Servicetechnikerinnen : Servicetechnikerin | Servicetechniker:innen | Servicetechnikerinnen und Servicetechniker,Servicetechniker,"['Service', 'Servicetechnikerin : Servicetechniker', 'Servicetechniker:in']","['Service', 'Servicepersonal', 'Servicetechnikerinnen : Servicetechnikerin', 'Servicetechniker:innen', 'Servicetechnikerinnen und Servicetechniker']"
Zuhörer,,,,,zuhörende Person | Zuhörerin : Zuhörer | Zuhörer:in,"Publikum | Zuhörende | Personen, die zuhören | Zuhörerinnen : Zuhörer | Zuhörer:innen | Zuhörerinnen und Zuhörer",Zuhörer,"['zuhörende Person', 'Zuhörerin : Zuhörer', 'Zuhörer:in']","['Publikum', 'Zuhörende', 'Personen, die zuhören', 'Zuhörerinnen : Zuhörer', 'Zuhörer:innen', 'Zuhörerinnen und Zuhörer']"
Bewerber,,,,,"Person, die sich bewerbt | Bewerber:in","Personen, die sich bewerben | Bewerbende | Bewerberinnen : Bewerber | Bewerber:innen | Bewerberinnen und Bewerber",Bewerber,"['Person, die sich bewerbt', 'Bewerber:in']","['Personen, die sich bewerben', 'Bewerbende', 'Bewerberinnen : Bewerber', 'Bewerber:innen', 'Bewerberinnen und Bewerber']"
Antragssteller,,,,,"Person, die einen Antrag stellt | Antragssteller:in ","Person, die einen Antrag stellen | Antragsstellende |  Beantragende | Antragsstellerinnen : Antragssteller | Antragssteller:innen | Antragsstellerinnen und Antragssteller",Antragssteller,"['Person, die einen Antrag stellt', 'Antragssteller:in ']","['Person, die einen Antrag stellen', 'Antragsstellende', ' Beantragende', 'Antragsstellerinnen : Antragssteller', 'Antragssteller:innen', 'Antragsstellerinnen und Antragssteller']"
Jeder,,,,,Jede : Jeder | Jede:r,Alle ,jed,"['Jede : Jeder', 'Jede:r']",['Alle ']
Teilnehmerliste,gendered_roles_image,,,,Teilnahmeliste,,Teilnehmerliste,['Teilnahmeliste'],['']
Mitarbeiterdialog,gendered_roles_image,,,,Jahresaustausch | Jahresdialog,,Mitarbeiterdialog,"['Jahresaustausch', 'Jahresdialog']",['']
Benutzeranleitung,gendered_roles_image,,,,Bedienungsanleitung,,Benutzeranleitung,['Bedienungsanleitung'],['']
Benutzerhandbuch,gendered_roles_image,,,,Bedienungsanleitung,,Benutzerhandbuch,['Bedienungsanleitung'],['']
Vorgesetzter,gendered_roles_hierachy,,5,,Leitungsperson | Führungsperson,Leitungspersonen | Führungspersonen,Vorgesetzter,"['Leitungsperson', 'Führungsperson']","['Leitungspersonen', 'Führungspersonen']"
