Lemma,Is active,Wordtype,Forms,Alternatives,Alternatives input fields Company | Company Culture | Goodies,Subcategory: competitive | Hard-hearted | Rough | Corporate,Alternatives_split_role,Alternatives_split_company
abenteuerlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,neugierig | Spass an Neuem | entdeckungsfreudig,experimentierfreudig | wir probieren gerne aus,competitive,"['neugierig', 'Spass an Neuem', 'entdeckungsfreudig']","['experimentierfreudig', 'wir probieren gerne aus']"
abenteuerlustig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,neugierig | Spass an Neuem | entdeckungsfreudig,neugierig | Spass an Neuem | entdeckungsfreudig,competitive,"['neugierig', 'Spass an Neuem', 'entdeckungsfreudig']","['neugierig', 'Spass an Neuem', 'entdeckungsfreudig']"
abgebrüht,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,ruhig | weise | mit Erfahrung,ruhig | weise | mit Erfahrung,hard-hearted,"['ruhig', 'weise', 'mit Erfahrung']","['ruhig', 'weise', 'mit Erfahrung']"
ablehnend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,du kannst Chance und Risiken gut abwägen,du kannst Chance und Risiken gut abwägen,hard-hearted,['du kannst Chance und Risiken gut abwägen'],['du kannst Chance und Risiken gut abwägen']
Aggression,1,s,en,du argumentierst sachlich,du argumentierst sachlich,hard-hearted,['du argumentierst sachlich'],['du argumentierst sachlich']
aggressiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,du argumentierst sachlich,du argumentierst sachlich,hard-hearted,['du argumentierst sachlich'],['du argumentierst sachlich']
Aggressivität,1,s,,du argumentierst sachlich,du argumentierst sachlich,hard-hearted,['du argumentierst sachlich'],['du argumentierst sachlich']
aktiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,unternehmensfreudig | beweglich | lebendig | die Initiative ergreifend,unternehmensfreudig | beweglich | lebendig | die Initiative ergreifend,rough,"['unternehmensfreudig', 'beweglich', 'lebendig', 'die Initiative ergreifend']","['unternehmensfreudig', 'beweglich', 'lebendig', 'die Initiative ergreifend']"
allein,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive,"['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']","['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']"
alleinstehend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,du setzt gerne deine Kompetenz ein | du fokussierst dich gerne auf deine Aufgaben,du setzt gerne deine Kompetenz ein | du fokussierst dich gerne auf deine Aufgaben,competitive,"['du setzt gerne deine Kompetenz ein', 'du fokussierst dich gerne auf deine Aufgaben']","['du setzt gerne deine Kompetenz ein', 'du fokussierst dich gerne auf deine Aufgaben']"
ambitiös,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Freude über Erreichung von Milestones | eifrig | fleißig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,Freude über Erreichung von Milestones | eifrig | fleißig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,competitive,"['Freude über Erreichung von Milestones', 'eifrig', 'fleißig', 'gerne eine Vision umsetzen', 'enthusiastisch bei der Umsetzung unserer Ziele']","['Freude über Erreichung von Milestones', 'eifrig', 'fleißig', 'gerne eine Vision umsetzen', 'enthusiastisch bei der Umsetzung unserer Ziele']"
ambitioniert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Freude über Erreichung von Milestones | eifrig | fleißig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,Freude über Erreichung von Milestones | eifrig | fleißig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,competitive,"['Freude über Erreichung von Milestones', 'eifrig', 'fleißig', 'gerne eine Vision umsetzen', 'enthusiastisch bei der Umsetzung unserer Ziele']","['Freude über Erreichung von Milestones', 'eifrig', 'fleißig', 'gerne eine Vision umsetzen', 'enthusiastisch bei der Umsetzung unserer Ziele']"
analytisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen | erkunden | untersuchen | überprüfen,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen,rough,"['komplexe Probleme zerlegen', 'methodisch vorgehen', 'rational nach den Gründen forschen', 'erkunden', 'untersuchen', 'überprüfen']","['komplexe Probleme zerlegen', 'methodisch vorgehen', 'rational nach den Gründen forschen']"
analysieren,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen | erkunden | untersuchen | überprüfen,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen,rough,"['komplexe Probleme zerlegen', 'methodisch vorgehen', 'rational nach den Gründen forschen', 'erkunden', 'untersuchen', 'überprüfen']","['komplexe Probleme zerlegen', 'methodisch vorgehen', 'rational nach den Gründen forschen']"
analysier,1,v,(en|st|end|ende)?,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen | erkunden | untersuchen | überprüfen,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen,rough,"['komplexe Probleme zerlegen', 'methodisch vorgehen', 'rational nach den Gründen forschen', 'erkunden', 'untersuchen', 'überprüfen']","['komplexe Probleme zerlegen', 'methodisch vorgehen', 'rational nach den Gründen forschen']"
Analyse,1,s,(n)?,Erkundung | Untersuchung | Studie | Überprüfung,Erkundung | Untersuchung | Studie | Überprüfung,rough,"['Erkundung', 'Untersuchung', 'Studie', 'Überprüfung']","['Erkundung', 'Untersuchung', 'Studie', 'Überprüfung']"
