MaleCodedWords-German,Is active,Wordtype,Forms,Alternatives-German Input fields job tite | Role | Requirements,Alternatives-German input fields Company | Company Culture | Goodies,Subcategory: competitive | Hard-hearted | Rough | Corporate
abenteuerlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,neugierig | Spass an Neuem | entdeckungsfreudig,experimentierfreudig | wir probieren gerne aus,competitive
abenteuerlustig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,neugierig | Spass an Neuem | entdeckungsfreudig,neugierig | Spass an Neuem | entdeckungsfreudig,competitive
abgebrüht,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,ruhig | weise | mit Erfahrung,ruhig | weise | mit Erfahrung,hard-hearted
ablehnend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,du kannst Chance und Risiken gut abwägen,du kannst Chance und Risiken gut abwägen,hard-hearted
Aggression,1,s,en,du argumentierst sachlich,du argumentierst sachlich,hard-hearted
aggressiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,du argumentierst sachlich,du argumentierst sachlich,hard-hearted
Aggressivität,1,s,,du argumentierst sachlich,du argumentierst sachlich,hard-hearted
aktiv,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,unternehmensfreudig | beweglich | lebendig | die Initiative egreifend,unternehmensfreudig | beweglich | lebendig | die Initiative egreifend,rough
allein,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive
alleinstehend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,du setzt gerne deine Kompetenz ein | du fokussierst dich gerne auf deine Aufgaben,du setzt gerne deine Kompetenz ein | du fokussierst dich gerne auf deine Aufgaben,competitive
ambitiös,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Freude über Erreichung von Milestones | eifrig | fleissig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,Freude über Erreichung von Milestones | eifrig | fleissig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,competitive
ambitioniert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Freude über Erreichung von Milestones | eifrig | fleissig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,Freude über Erreichung von Milestones | eifrig | fleissig | gerne eine Vision umsetzen | enthusiastisch bei der Umsetzung unserer Ziele,competitive
analytisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen | erkunden | untersuchen | überprüfen,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen,rough
analysieren,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen | erkunden | untersuchen | überprüfen,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen,rough
analysier,1,v,(en|st|end|ende)?,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen | erkunden | untersuchen | überprüfen,komplexe Probleme zerlegen | methodisch vorgehen | rational nach den Gründen forschen,rough
Analyse,1,s,(n)?,Erkundung | Untersuchung | Studie | Überprüfung,Erkundung | Untersuchung | Studie | Überprüfung,rough
anfechtbar,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,"im Kontext ""du bist nicht anfechtbar"": integer | authentisch","im Kontext ""du bist nicht anfechtbar"": integer | authentisch",rough
anfecht,1,v,(e|est|et|en),"im Kontext ""du kannst anfechten"": argumentieren | diskutieren | sich abstimmen","im Kontext ""du kannst anfechten"": argumentieren | diskutieren | sich abstimmen",rough
angreifend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,etablierte Meinungen hinterfragen,etablierte Meinungen hinterfragen,competitive
Angriff,1,s,(es|e)?,etablierte Meinungen hinterfragen,etablierte Meinungen hinterfragen,competitive
angriffslustig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,etablierte Meinungen hinterfragen,etablierte Meinungen hinterfragen,competitive
anspruchsvoll,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,gerne mit immer wieder neuen Problemstellungen konfrontiert | kritisches Hinterfragen der Tatsachen,gerne mit immer wieder neuen Problemstellungen konfrontiert | kritisches Hinterfragen der Tatsachen,rough
antreib,1,v,(en|st|end|ende)?,,,competitive
Athlet,1,s,(in|en|innen|es)?,diszipliniert | Durchhaltevermögen,diszipliniert | Durchhaltevermögen,competitive
athletisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,diszipliniert | Durchhaltevermögen,diszipliniert | Durchhaltevermögen,competitive
aufstrebend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | strebsam | fleissig | lernen aus Erfahrungen,Meilensteine erreichen wollen | strebsam | fleissig | lernen aus Erfahrungen,rough
Ausdauer,1,s,,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,competitive
Auseinandersetzung,1,s,,verschiedene Meinungen sind für dich eine Lernchance | Gedankenaustausch bringen dich weiter,verschiedene Meinungen sind für dich eine Lernchance | Gedankenaustausch bringen dich weiter,hard-hearted
ausfällig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
ausfecht,1,v,(e|est|et|en),argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,competitive
fecht,1,v,(e|est|et|en),argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,argumentieren mit Erfahrung | Wissen | diskutieren über verschiedene Perspektiven,competitive
antreib,1,v,(e|st|t|en),sich engagieren für | die Initiative ergreifen | anleiten,sich engagieren für | die Initiative ergreifen | anleiten,competitive
ausschlaggebend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
autonom,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive
Autonomität,1,s,,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive
Autorität,1,s,,Kompetenz | Verantwortung tragen | Vorbild sein,Kompetenz | Verantwortung tragen | Vorbild sein,rough
autoritativ,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Wissen mitteilen und teilen | Richtung weisen,Wissen mitteilen und teilen | Richtung weisen,rough
begierig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,leidenschaftlich | erwartungsvoll | gespannt | mitgerissen | neugierig | Absicht haben,leidenschaftlich | erwartungsvoll | gespannt | mitgerissen | neugierig | Absicht haben,competitive
beharr,1,v,(e|st|t|en),insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,competitive
beharrlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,competitive
Beharrlichkeit,1,s,,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,insistieren | Erfahrung vertreten | nicht locker lassen | sich nicht abbringen lassen | auf Umsetzung hinwirken,competitive
behaupt,1,v,(e|est|et|en),Meinung/Arbeit vertreten | Erfahrungen teilen,Meinung/Arbeit vertreten | Erfahrungen teilen,hard-hearted
beherrsch,1,v,(e|st|t|en),kompetent sein | Know-how haben,kompetent sein | Know-how haben,hard-hearted
beherrschend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
belastbar,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem|keit)?,stabil | Ruhe bewahren | langer Atem | resilient,stabil | Ruhe bewahren | langer Atem,competitive
bestimmend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
bestimmt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,klar und deutlich | mit Nachdruck | greifbar | handfest,klar und deutlich | mit Nachdruck | greifbar | handfest,hard-hearted
Bestimmtheit,1,s,,klar und deutlich | mit Nachdruck | greifbar | handfest,klar und deutlich | mit Nachdruck | greifbar | handfest,hard-hearted
bew,1,v,(eist|eisen|iesen),aufzeigen | sich selbst wahrnehmen ,aufzeigen | sich selbst wahrnehmen ,competitive
brüst,1,v,(e|est|et|en),für die gemachte Arbeit einstehen,für die gemachte Arbeit einstehen,hard-hearted
couragiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,competitive
deutlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,rough
dienstleistungsorientiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,einfühlsam mit Kundinnen und Kunden umgehen,cultural
Dienstleistungsorientierung,1,s,,,einfühlsamer Umgang mit Kundinnen und Kunden,cultural
direkt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,geradeheraus | von Mensch zu Mensch | offenherzig | gradlinig | aufrichtig,geradeheraus | von Mensch zu Mensch | offenherzig | gradlinig | aufrichtig,rough
Direktheit,1,s,,geradeheraus | von Mensch zu Mensch | offenherzig | gradlinig | aufrichtig,geradeheraus | von Mensch zu Mensch | offenherzig | gradlinig | aufrichtig,rough
dominant,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,hard-hearted
draufgängerisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted
Durchhaltevermöge,1,s,(ns|n),deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,competitive
Durchhaltewille,1,s,(ns|n|s)?,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,deine Ruhe und Besonnenheit bringen dich weiter | du hast einen langen Atem | du bleibst gerne an Dingen dran,competitive
durchsetz,1,v,(e|t|en),erwirken | umsetzen | vollbringen,erwirken | umsetzen | vollbringen,hard-hearted
durchsetzungsfähig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted
Durchsetzungsfähigkeit,1,s,,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted
durchsetzungsstark,1,a,(e|er|en|em|es)?,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted
durchsetzungsstärk,1,a,(ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem),,,hard-hearted
Durchsetzungskraft,1,s,,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted
Durchsetzungsvermögen,1,s,s?,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | Stakeholder mitreissen | umsetzungsfreudig,hard-hearted
Drive,1,s,,engagiert | mit Freude | begeistert für etwas,engagiert | mit Freude | begeistert für etwas,hard-hearted
Druck,1,s,s?,Druck aushalten = in Ruhe Arbeiten abschliessen | besonnen bleiben; Druck aufsetzen = Umsetzung vorantreiben | in der Umsetzung unterstützen,Druck aushalten = in Ruhe Arbeiten abschliessen | besonnen bleiben; Druck aufsetzen = Umsetzung vorantreiben | in der Umsetzung unterstützen,competitive
Ehrgeiz,1,s,es?,Fleiss | Eifer | Pflichtbewusstsein,Fleiss | Eifer | Pflichtbewusstsein,competitive
ehrgeizig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,eifrig | fleissig | pflichtbewusst,eifrig | fleissig | pflichtbewusst,competitive
eigenständig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,cultural
Eigenständigkeit,1,s,,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,cultural
eigensinnig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,cultural
eigenverantwortlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Verantwortung übernehmen | unternehmerisch handeln,Verantwortung übernehmen | unternehmerisch handeln,cultural
Eigenverantwortung,1,s,,Verantwortung übernehmen | unternehmerisch handeln,Verantwortung übernehmen | unternehmerisch handeln,cultural
eigenwillig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,cultural
einzeln,1,a,,,,cultural
Einsatzwille,1,s,(ns|n|s)?,Engagement | Begeisterung,Engagement | Begeisterung,rough
Einsatzbereitschaft,1,s,,Engagement | Begeisterung,Engagement | Begeisterung,rough
energisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,tatkräfig | dynamisch | zupackend,tatkräfig | dynamisch | zupackend,rough
entscheidend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,rough
Entscheidung,1,s,(en)?,,,rough
entscheidungsfreudig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,flexibel | pragmatisch | unkompliziert | beweglich,flexibel | pragmatisch | unkompliziert | beweglich,rough
entschieden,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,klipp und klar | eindeutig in der Kommunikation | explizit | deutlich,klipp und klar | eindeutig in der Kommunikation | explizit | deutlich,rough
Entschiedenheit,1,s,,mit Deutlichkeit | mit Klarheit | mit Engagement,mit Deutlichkeit | mit Klarheit | mit Engagement,rough
entschlossen,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,konsequent | herzhaft | zupackend | pragmatisch,konsequent | herzhaft | zupackend | pragmatisch,rough
Entschlossenheit,1,s,,mit Herzhaftigkeit | mit Pragmatismus,mit Herzhaftigkeit | mit Pragmatismus,rough
entschlussfreudig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,flexibel | pragmatisch | unkompliziert | beweglich,flexibel | pragmatisch | unkompliziert | beweglich,rough
