MaleCodedWords-English,Is active,Wordtype,Forms,"Alternatives-English Input field ""job title / role"" / ""requirements""","Alternatives-English input field ""Company, Company Culture, Goodies""","Subcategory: competitive, Hard-hearted, Rough, Corporate"
achiever,,s,s?,"get things done, entrepreneurial, passionate about implementation, passionate about realizing a vision","realizing a vision together | entrepreneurial | move things to ""done""",competitive
active,1,a,,energetic | vital | dynamic | lively | spirited,energetic | vital | dynamic | lively | spirited,rough
adventurous,,a,,,,competitive
aggression,,s,s?,,,hard-hearted
aggressive,,a,,,,hard-hearted
alone,1,a,,feel competent in your field | keen on focussing on your tasks,keen on innovation | explore new directions,competitive
lonely,1,a,,feel competent in your field | keen on focussing on your tasks,keen on innovation | explore new directions,competitive
ambition,1,s,s?,go after a dream | realize a vision | enthusiastic about your or common goals | committed,committed | go after our dream | like to reach milestones | realize a vision | enthusiastic about common goals,competitive
ambitious,1,a,(ly)?,go after a dream | realize a vision | enthusiastic about your or common goals | committed,committed | go after our dream | like to reach milestoens | realize a vision | enthusiastic about common goals,competitive
analys,1,s,(is|es|ing),systematic approach | investigative | with scientific care | meticulous | rational thinking | diagnostic methods | precise | exploration | enquiry | study | scrutiny,systematic approach | investigative | with scientific care | meticulous | rigorous | rational thinking | diagnostic methods | precise,rough
analys,1,v,(s|ing|ed),systematic approach | investigative | with scientific care | meticulous | rational thinking | diagnostic methods | precise | exploration | enquiry | study | scrutiny,systematic approach | investigative | with scientific care | meticulous | rigorous | rational thinking | diagnostic methods | precise,rough
analytical,1,a,(ly)?,systematic approach | investigative | with scientific care | meticulous | rational thinking | diagnostic methods | precise | exploration | enquiry | study | scrutiny,systematic approach | investigative | with scientific care | meticulous | rigorous | rational thinking | diagnostic methods | precise,rough
assertion,1,s,s?,optimistically address an issue | positive | open to new riddles | believe in yourself,optimistically address an issue | positive | open to new riddles,rough
assertive,1,a,(ly)?,optimistically address an issue | positive | open to new riddles | believe in yourself,optimistically address an issue | positive | open to new riddles,rough
assertiveness,1,s,,optimistically address an issue | positive | open to new riddles | believe in yourself,optimistically address an issue | positive | open to new riddles,rough
athlet,1,s,s?,,,competitive
