Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Dear Sir,i,gendered,function,function,"['Dear ((name or professional title))', 'Dear ((name of department)) team']",[],"['Dear ((name or professional title))', 'Dear ((name of department)) team']"
alpha animal,s,gendered,male_stereotype,male_stereotype,"['facilitator', 'mentor', 'supporter', 'facilitators', 'mentors', 'supporters', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course""]","['facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]","['facilitator', 'mentor', 'supporter', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course"", 'facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]"
alpha dog,s,gendered,male_stereotype,male_stereotype,"['facilitator', 'mentor', 'supporter', 'facilitators', 'mentors', 'supporters', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course""]","['facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]","['facilitator', 'mentor', 'supporter', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course"", 'facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]"
alpha person,s,gendered,male_stereotype,male_stereotype,"['facilitator', 'mentor', 'supporter', 'facilitators', 'mentors', 'supporters', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course""]","['facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]","['facilitator', 'mentor', 'supporter', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'someone who communicates expectations', 'person who shapes the company strategy', 'someone who chooses a course of action with the team', ""role that charts the company's course"", 'facilitators', 'mentors', 'supporters', 'people who support and motivate the team', 'people who communicate a shared vision', 'those who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals', 'those who communicate expectations', 'people who shape the company strategy', 'those who choose a course of action with the team', ""roles that chart the company's course""]"
attention seeking,a,gendered,female_stereotype,female_stereotype,"['outgoing', 'at ease in social situations', 'gregarious', 'lively', 'extroverted', 'unrestrained', 'validation-seeking', 'approval-seeking', 'causing disruption', 'tending to cause disruption']",[],"['outgoing', 'at ease in social situations', 'gregarious', 'lively', 'extroverted', 'unrestrained', 'validation-seeking', 'approval-seeking', 'causing disruption', 'tending to cause disruption']"
back end developer,s,gendered,titles,generic_plural,"['they', 'back-end development', 'back-end development team', 'back-end developers', 'colleague in back-end development']","['back-end developers', 'back-end development team', 'back-end development', 'colleagues in back-end development']","['back-end development', 'they', 'colleague in back-end development', 'back-end development team', 'back-end developers']"
back-end developer,s,gendered,titles,generic_plural,"['they', 'back-end development', 'back-end development team', 'back-end developers', 'colleague in back-end development']","['back-end developers', 'back-end development team', 'back-end development', 'colleagues in back-end development']","['back-end development', 'they', 'colleague in back-end development', 'back-end development team', 'back-end developers']"
backend developer,s,gendered,titles,generic_plural,"['they', 'back-end development', 'back-end development team', 'back-end developers', 'colleague in back-end development']","['back-end developers', 'back-end development team', 'back-end development', 'colleagues in back-end development']","['back-end development', 'they', 'colleague in back-end development', 'back-end development team', 'back-end developers']"
big boy,a+s,gendered,leadership,leadership,"['higher-up', 'supervisor', 'executive', 'management', 'administration']","['management', 'administration']","['management', 'administration', 'higher-up', 'supervisor', 'executive']"
boldly go where no man has gone before,i,gendered,hidden_image,hidden_image,['boldly go where no one has gone before'],[],['boldly go where no one has gone before']
child prostitute,i,gendered,female_stereotype,female_stereotype,"['rape victim', 'sexual assault survivor']",[],"['rape victim', 'sexual assault survivor']"
child prostitutes,i,gendered,female_stereotype,female_stereotype,"['rape victims', 'sexual assault survivors']",[],"['rape victims', 'sexual assault survivors']"
common man,i,gendered,hidden_image,hidden_image,"['average person', 'average people', 'common person', 'common people']",[],"['average person', 'average people', 'common person', 'common people']"
delivery boy,i,gendered,titles,titles,"['courier', 'messenger']",[],"['courier', 'messenger']"
delivery girl,i,gendered,titles,titles,"['courier', 'messenger']",[],"['courier', 'messenger']"
delivery man,s,gendered,titles,titles,"['delivery person', 'they', 'delivery', 'delivery team', 'delivery staff', 'delivery persons', 'delivery people']","['delivery persons', 'delivery people', 'delivery team', 'delivery staff', 'delivery']","['delivery', 'delivery person', 'they', 'delivery team', 'delivery staff', 'delivery persons', 'delivery people']"
every man,s,gendered,function,function,"['everybody', 'everyone', 'all', 'all']",['all'],"['everybody', 'everyone', 'all', 'all']"
every man for himself,i,gendered,hidden_image,hidden_image,"['everyone for yourselves', 'everyone for themself']",[],"['everyone for yourselves', 'everyone for themself']"
front end developer,s,gendered,titles,generic_plural,"['they', 'front-end development', 'front-end development team', 'front-end developers', 'colleague in front-end development']","['front-end developers', 'front-end development team', 'front-end development', 'colleagues in front-end development']","['front-end development', 'they', 'colleague in front-end development', 'front-end development team', 'front-end developers']"
front-end developer,s,gendered,titles,generic_plural,"['they', 'front-end development', 'front-end development team', 'front-end developers', 'colleague in front-end development']","['front-end developers', 'front-end development team', 'front-end development', 'colleagues in front-end development']","['front-end development', 'they', 'colleague in front-end development', 'front-end development team', 'front-end developers']"
frontend developer,s,gendered,titles,generic_plural,"['they', 'front-end development', 'front-end development team', 'front-end developers', 'colleague in front-end development']","['front-end developers', 'front-end development team', 'front-end development', 'colleagues in front-end development']","['front-end development', 'they', 'colleague in front-end development', 'front-end development team', 'front-end developers']"
go into hysterics,i,gendered,female_stereotype,female_stereotype,"['become very upset', 'become angry', 'become agitated']",[],"['become very upset', 'become angry', 'become agitated']"
growth hacker,s,gendered,titles,generic_plural,"['growth hacking', 'growth hackers']","['growth hackers', 'growth hacking']","['growth hacking', 'growth hackers']"
guerrilla marketing,s,gendered,hidden_image,hidden_image,"['low-cost, non-traditional advertising strategy', 'parasitic marketing strategy', 'unusual promotional techniques', 'advertisement strategy that uses surprise and unconventional interactions ']",[],"['low-cost, non-traditional advertising strategy', 'parasitic marketing strategy', 'unusual promotional techniques', 'advertisement strategy that uses surprise and unconventional interactions ']"
gun man,s,gendered,function,function,"['shooter', 'they', 'shooters']",['shooters'],"['shooter', 'they', 'shooters']"
he or she,s,gendered,binary_pronouns,binary_pronouns,"['they', '((given name))', '((given name family name))']",[],"['they', '((given name))', '((given name family name))']"
he/she,s,gendered,binary_pronouns,binary_pronouns,"['they', '((given name))', '((given name family name))']",[],"['they', '((given name))', '((given name family name))']"
head of,s,gendered,leadership,generic_plural,"['person responsible for', 'heads of', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals']","['heads of', 'people who support and motivate the team', 'people who communicate a shared vision', 'people who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals']","['person responsible for', 'person who supports and motivates the team', 'someone who communicates a shared vision', 'someone who helps identify milestones', 'person who offers guidance', 'person who takes a coaching role to help a team work toward shared goals', 'heads of', 'people who support and motivate the team', 'people who communicate a shared vision', 'people who help identify milestones', 'people who offer guidance', 'people who take a coaching role to help a team work toward shared goals']"
her or him,s,gendered,binary_pronouns,binary_pronouns,"['them', '((given name))', '((given name family name))']",[],"['them', '((given name))', '((given name family name))']"
her or his,s,gendered,binary_pronouns,binary_pronouns,"['their', ""((given name's))""]",[],"['their', ""((given name's))""]"
her/him,s,gendered,binary_pronouns,binary_pronouns,"['them', '((given name))', '((given name family name))']",[],"['them', '((given name))', '((given name family name))']"
her/his,s,gendered,binary_pronouns,binary_pronouns,"['their', ""((given name's))""]",[],"['their', ""((given name's))""]"
hers or his,s,gendered,binary_pronouns,binary_pronouns,"['theirs', ""((given name's and given name's))""]",[],"['theirs', ""((given name's and given name's))""]"
herself or himself,s,gendered,binary_pronouns,binary_pronouns,"['themself', 'theirself', 'self']",[],"['themself', 'theirself', 'self']"
herself/himself,s,gendered,binary_pronouns,binary_pronouns,"['themself', 'theirself', 'self']",[],"['themself', 'theirself', 'self']"
him or her,s,gendered,binary_pronouns,binary_pronouns,"['them', '((given name))', '((given name family name))']",[],"['them', '((given name))', '((given name family name))']"
him/her,s,gendered,binary_pronouns,binary_pronouns,"['them', '((given name))', '((given name family name))']",[],"['them', '((given name))', '((given name family name))']"
himself or herself,s,gendered,binary_pronouns,binary_pronouns,"['themself', 'theirself', 'self']",[],"['themself', 'theirself', 'self']"
himself/herself,s,gendered,binary_pronouns,binary_pronouns,"['themself', 'theirself', 'self']",[],"['themself', 'theirself', 'self']"
his and her,s,gendered,binary_pronouns,binary_pronouns,"['their', ""((given name's))""]",[],"['their', ""((given name's))""]"
his and hers,s,gendered,binary_pronouns,binary_pronouns,"['theirs', ""((given name's and given name's))""]",[],"['theirs', ""((given name's and given name's))""]"
his or her,s,gendered,binary_pronouns,binary_pronouns,"['their', ""((given name's))""]",[],"['their', ""((given name's))""]"
his/her,s,gendered,binary_pronouns,binary_pronouns,"['their', ""((given name's))""]",[],"['their', ""((given name's))""]"
in hysterics,i,gendered,female_stereotype,female_stereotype,"['very upset', 'angry', 'agitated']",[],"['very upset', 'angry', 'agitated']"
lady doctor,s,gendered,titles,titles,"['doctor', 'they', 'medical staff', 'medical team', 'health care team', 'doctors']","['doctors', 'medical staff', 'medical team', 'health care team']","['doctor', 'they', 'medical staff', 'medical team', 'health care team', 'doctors']"
maintenance man,s,gendered,titles,titles,"['maintenance person', 'maintenance worker', 'they', 'maintenance', 'maintenance staff', 'maintenance crew', 'maintenance workers']","['maintenance workers', 'maintenance staff', 'maintenance crew', 'maintenance']","['maintenance', 'maintenance person', 'maintenance worker', 'they', 'maintenance staff', 'maintenance crew', 'maintenance workers']"
male nurse,a+s,gendered,titles,generic_plural,"['nurse', 'they', 'nursing', 'nursing personnel', 'nursing staff', 'nurses']","['nurses', 'nursing personnel', 'nursing staff', 'nursing']","['nursing', 'nurse', 'they', 'nursing personnel', 'nursing staff', 'nurses']"
man bag,s,gendered,male_stereotype,male_stereotype,"['handbag', 'handbags']",['handbags'],"['handbag', 'handbags']"
man bun,s,gendered,male_stereotype,male_stereotype,"['bun', 'buns']",['buns'],"['bun', 'buns']"
man day,s,gendered,hidden_image,hidden_image,"['person-day', 'person-days']",['person-days'],"['person-day', 'person-days']"
man hour,s,gendered,hidden_image,hidden_image,"['person-hour', 'labour hour', 'hour of effort', 'person-hours', 'labour hours', 'hours of effort', 'amount of work done in one hour']","['person-hours', 'labour hours', 'hours of effort', 'amount of work done in one hour']","['person-hour', 'labour hour', 'hour of effort', 'amount of work done in one hour', 'person-hours', 'labour hours', 'hours of effort']"
man hunt,s,gendered,hidden_image,hidden_image,"['intensive search for a person', 'organised search by law enforcement agencies', 'intensive searches for a people', 'organised searches by law enforcement agencies']","['intensive searches for a people', 'organised searches by law enforcement agencies']","['intensive search for a person', 'organised search by law enforcement agencies', 'intensive searches for a people', 'organised searches by law enforcement agencies']"
man in the street,i,gendered,male_stereotype,male_stereotype,['average person'],[],['average person']
man kini,s,gendered,male_stereotype,male_stereotype,"['sling swimsuit', 'slingshot bikini', 'sling swimsuits', 'slingshot bikinis']","['sling swimsuits', 'slingshot bikinis']","['sling swimsuit', 'slingshot bikini', 'sling swimsuits', 'slingshot bikinis']"
man made,a,gendered,hidden_image,hidden_image,"['synthetic', 'machine-made', 'artificial']",[],"['synthetic', 'machine-made', 'artificial']"
man of few words,i,gendered,male_stereotype,male_stereotype,"['person of few words', 'concise communicator', 'laconic personality', 'taciturn person', 'people of few words', 'concise communicators', 'laconic personalities', 'taciturn people', 'someone who says little', 'someone who tends to stray on the quieter side', 'person who does not speak much', 'person of action rather than words', 'someone who prefers Cliffs Notes over epics']","['people of few words', 'concise communicators', 'laconic personalities', 'taciturn people', 'people who say little', 'people who stray on the quieter side', ""people who don't speak much"", 'those of action rather than words', 'those who prefer Cliffs Notes over epics']","['person of few words', 'concise communicator', 'laconic personality', 'taciturn person', 'someone who says little', 'someone who tends to stray on the quieter side', 'person who does not speak much', 'person of action rather than words', 'someone who prefers Cliffs Notes over epics', 'people of few words', 'concise communicators', 'laconic personalities', 'taciturn people', 'people who say little', 'people who stray on the quieter side', ""people who don't speak much"", 'those of action rather than words']"
man of his word,i,gendered,male_stereotype,male_stereotype,"['someone true to their word', 'someone whose word is their bond', 'someone who always keeps their promises']",[],"['someone true to their word', 'someone whose word is their bond', 'someone who always keeps their promises']"
man of the hour,i,gendered,male_stereotype,male_stereotype,"['person of the hour', 'woman of the hour', 'people of the hour', 'women of the hour']","['people of the hour', 'women of the hour']","['person of the hour', 'woman of the hour', 'people of the hour', 'women of the hour']"
man of the moment,i,gendered,male_stereotype,male_stereotype,"['most important person at this time', 'the most influential person at the time', 'someone who plays a pivotal role at this point in time', 'person of great importance', 'most popular person at this particular moment in time']",[],"['most important person at this time', 'the most influential person at the time', 'someone who plays a pivotal role at this point in time', 'person of great importance', 'most popular person at this particular moment in time']"
man of the world,i,gendered,male_stereotype,male_stereotype,"['someone not easily shocked', 'someone experienced and world-wise', 'someone who can deal with most situations life throws at them', 'someone widely experienced in the ways of the world and people']",[],"['someone not easily shocked', 'someone experienced and world-wise', 'someone who can deal with most situations life throws at them', 'someone widely experienced in the ways of the world and people']"
man on the street,i,gendered,male_stereotype,male_stereotype,['average person'],[],['average person']
man power,s,gendered,hidden_image,hidden_image,"['labour force', 'personnel', 'pool', 'staff', 'people available', 'teams to handle a job', 'the people to (...)']","['personnel', 'pool', 'staff']","['labour force', 'people available', 'teams to handle a job', 'the people to (...)', 'personnel', 'pool', 'staff']"
man scara,s,gendered,male_stereotype,male_stereotype,"['mascara', 'mascaras']",['mascaras'],"['mascara', 'mascaras']"
man sized,a,gendered,hidden_image,hidden_image,"['very large', 'generous', 'calling for the strength traditionally attributed to a man']",[],"['very large', 'generous', 'calling for the strength traditionally attributed to a man']"
man trap,s,gendered,hidden_image,hidden_image,"['snare', 'outdoor trap for trespassers', 'double-door single-person access control space', 'snares', 'outdoor traps for trespassers', 'double-door single-person access control spaces']","['snares', 'outdoor traps for trespassers', 'double-door single-person access control spaces']","['snare', 'outdoor trap for trespassers', 'double-door single-person access control space', 'snares', 'outdoor traps for trespassers', 'double-door single-person access control spaces']"
man up,v,gendered,hidden_image,hidden_image,"['deal with it', 'toughen up', 'be brave', 'pull up your socks', 'pull yourself together', 'get it together', 'get a grip', 'adopt a stereotypically masculine approach', 'take stereotypically masculine action']",[],"['deal with it', 'toughen up', 'be brave', 'pull up your socks', 'pull yourself together', 'get it together', 'get a grip', 'adopt a stereotypically masculine approach', 'take stereotypically masculine action']"
master at,i,gendered,hidden_image,hidden_image,"['skilled at', 'proficient in', 'person who has a creative way of', 'someone with a talent for', 'someone who has a high level of knowledge in']",[],"['skilled at', 'proficient in', 'person who has a creative way of', 'someone with a talent for', 'someone who has a high level of knowledge in']"
masters at,i,gendered,hidden_image,hidden_image,"['skilled at', 'proficient in']","['people who have a creative way of', 'people with a talent for', 'people who have a high level of knowledge in']","['skilled at', 'proficient in', 'people who have a creative way of', 'people with a talent for', 'people who have a high level of knowledge in']"
middle man,s,gendered,function,function,"['intermediary', 'mediator', 'go-between', 'intermediaries', 'mediators', 'go-betweens', 'person acting as an agent between two parties']","['intermediaries', 'mediators', 'go-betweens', 'people acting as agents between two parties']","['intermediary', 'mediator', 'go-between', 'person acting as an agent between two parties', 'intermediaries', 'mediators', 'go-betweens', 'people acting as agents between two parties']"
no man is an island,i,gendered,hidden_image,hidden_image,['no one is an island --- if not a quote'],[],['no one is an island --- if not a quote']
non consentual sex,i,gendered,female_stereotype,female_stereotype,['rape'],[],['rape']
non-consentual sex,i,gendered,female_stereotype,female_stereotype,['rape'],[],['rape']
nonconsentual sex,i,gendered,female_stereotype,female_stereotype,['rape'],[],['rape']
pick a fight,v+s,gendered,male_stereotype,male_stereotype,"['differ', 'disagree', 'start a debate', 'discuss options', 'present arguments']",[],"['differ', 'disagree', 'start a debate', 'discuss options', 'present arguments']"
pink leadership,a+s,gendered,leadership,leadership,"['communal leadership', 'servant leadership', 'communal leaderships', 'servant leaderships']","['communal leaderships', 'servant leaderships']","['communal leadership', 'servant leadership', 'communal leaderships', 'servant leaderships']"
product owner,s,gendered,titles,generic_plural,"['they', 'product ownership', 'product owners']","['product owners', 'product ownership']","['product ownership', 'they', 'product owners']"
project manager,s,gendered,titles,titles,"['person in project management', 'they', 'project management', 'people in project management', 'person handling project management', 'someone in the project management role']","['people in project management', 'project management', 'people handling project management', 'people in project management roles']","['project management', 'person in project management', 'they', 'person handling project management', 'someone in the project management role', 'people in project management']"
seek attention,v+s,gendered,female_stereotype,female_stereotype,"['seek validation', 'be lively', 'be at ease in social situations', 'be outgoing']",[],"['seek validation', 'be lively', 'be at ease in social situations', 'be outgoing']"
service desk agent,s,gendered,titles,generic_plural,"['they', 'service desk', 'service desk agents']","['service desk agents', 'service desk']","['service desk', 'they', 'service desk agents']"
sex with a minor,i,gendered,female_stereotype,female_stereotype,['rape of a minor'],[],['rape of a minor']
sex with minors,i,gendered,female_stereotype,female_stereotype,['rape of minors'],[],['rape of minors']
she or he,s,gendered,binary_pronouns,binary_pronouns,"['they', '((given name))', '((given name family name))']",[],"['they', '((given name))', '((given name family name))']"
she/he,s,gendered,binary_pronouns,binary_pronouns,"['they', '((given name))', '((given name family name))']",[],"['they', '((given name))', '((given name family name))']"
stunt man,s,gendered,titles,titles,"['stunt person', 'stunt performer', 'stunt double', 'they', 'stunt people', 'stunt persons', 'stunt performers', 'stunt doubles']","['stunt persons', 'stunt performers', 'stunt doubles', 'stunt people']","['stunt person', 'stunt performer', 'stunt double', 'they', 'stunt people', 'stunt persons', 'stunt performers', 'stunt doubles']"
take the lead,i,gendered,leadership,leadership,"['head up', 'take responsibility for', 'guide', 'coach', 'set a course', 'inspire']",[],"['head up', 'take responsibility for', 'guide', 'coach', 'set a course', 'inspire']"
underage woman,i,gendered,female_stereotype,female_stereotype,['child'],[],['child']
underage women,i,gendered,female_stereotype,female_stereotype,['children'],[],['children']
user of,i,gendered,function,function,['person using'],[],['person using']
users of,i,gendered,function,function,['people using'],[],['people using']
vice chairman,s,gendered,titles,titles,"['vice chairperson', 'they', 'vice chairpersons', 'vice chairpeople', '((name)) who serves as vice chair']","['vice chairpersons', 'vice chairpeople', '((name)) who serve as vice chairs']","['vice chairperson', 'they', '((name)) who serves as vice chair', 'vice chairpersons', 'vice chairpeople']"
