Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split,False_Positives
able-bodied,~a,unconscious_bias,advanced_ability,advanced_ability,"['without disability', 'typical']",[],"['without disability', 'typical']",
abnormal,a,unconscious_bias,advanced_ability,advanced_ability,"['atypical --- when talking about people', 'neurodiverse --- when talking about people', 'living with a disability', 'living with a medical condition', 'unusual(...)', 'odd(...)', 'strange(...)', 'surprising(...)', 'baffling(...)']",[],"['atypical --- when talking about people', 'neurodiverse --- when talking about people', 'living with a disability', 'living with a medical condition', 'unusual(...)', 'odd(...)', 'strange(...)', 'surprising(...)', 'baffling(...)']",
abnormality on one of the chromosomes,a||s|||~s,unconscious_bias,advanced_ability,advanced_ability,"['variant on one of the chromosomes', 'chromosomal variant', 'variants on one of the chromosomes', 'chromosomal variants']","['variants on one of the chromosomes', 'chromosomal variants']","['variant on one of the chromosomes', 'chromosomal variant', 'variants on one of the chromosomes', 'chromosomal variants']",
afflicted with,~v|,unconscious_bias,advanced_ability,advanced_ability,['living with'],[],['living with'],
Asperger,~s,unconscious_bias,advanced_ability,advanced_ability,"['Autistic', 'neurodivergent', 'on the autism spectrum', '--- only if the person prefers the term, or when discussing historical context', 'person who has autism(...)', 'someone with autism(...)']","['--- only if the person prefers the term, or when discussing historical context']","['--- only if the person prefers the term, or when discussing historical context', 'on the autism spectrum', 'Autistic', 'neurodivergent', 'person who has autism(...)', 'someone with autism(...)']",
Asperger’s Syndrome,|~|~s,unconscious_bias,advanced_ability,advanced_ability,"['Autistic', 'neurodivergent', 'being on the autism spectrum', '--- only if the person prefers the term, or when discussing historical context', 'person who has autism(...)', 'someone with autism(...)']","['--- only if the person prefers the term, or when discussing historical context']","['--- only if the person prefers the term, or when discussing historical context', 'being on the autism spectrum', 'Autistic', 'neurodivergent', 'person who has autism(...)', 'someone with autism(...)']",
be special needs,v|~a|~s,unconscious_bias,advanced_ability,advanced_ability,"['live with a disability', 'have access needs', 'require additional services', 'need specialized support', 'provide specialized assistance']",[],"['live with a disability', 'have access needs', 'require additional services', 'need specialized support', 'provide specialized assistance']",
borderline autism,~s|s,unconscious_bias,advanced_ability,advanced_ability,['autism'],[],['autism'],
chromosomal abnormality,a|s,unconscious_bias,advanced_ability,advanced_ability,"['variant on one of the chromosomes', 'chromosomal variant', 'variant on one of the chromosomes', 'chromosomal variants']","['variant on one of the chromosomes', 'chromosomal variants']","['variant on one of the chromosomes', 'chromosomal variant', 'variant on one of the chromosomes', 'chromosomal variants']",
clumsy,a,unconscious_bias,advanced_ability,advanced_ability,"['uncoordinated', 'lacking coordination', 'developmental coordination', '--- name specific disability']",['--- name specific disability'],"['--- name specific disability', 'lacking coordination', 'developmental coordination', 'uncoordinated']",
