Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
AIDS victim,s,unconscious_bias,medical_state,APA,"['person with AIDS(...)', 'person living with HIV(...)']",['people with AIDS(...)'],"['person with AIDS(...)', 'person living with HIV(...)']"
Are you blind?,i,unconscious_bias,vision,cultural,"[""Don't you see?"", ""Don't you realise?"", ""Didn't you notice?"", ""Didn't you pick up on that?""]",[],"[""Don't you see?"", ""Don't you realise?"", ""Didn't you notice?"", ""Didn't you pick up on that?""]"
Bible basher,s,unconscious_bias,belief,belief,['-'],['-'],['-']
Bible thumper,s,unconscious_bias,belief,belief,['-'],['-'],['-']
Black Belt,s,unconscious_bias,sports_terms,sports_terms,"['skilled person', 'very proficient person', 'courageous person', 'they', 'skilled people', 'very proficient people', 'courageous people']","['skilled people', 'very proficient people', 'courageous people']","['skilled person', 'very proficient person', 'courageous person', 'they', 'skilled people', 'very proficient people', 'courageous people']"
Cervix haver,s,unconscious_bias,gender_identity,gender_identity,['person with a cervix(...)'],['people with a cervix(...)'],['person with a cervix(...)']
Christmas days off,i,unconscious_bias,belief,belief,['holiday days off\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t'],[],['holiday days off\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t']
Describe your symptoms,i,unconscious_bias,medical_state,medical_state,['How does ((condition or disability)) manifest for you?'],[],['How does ((condition or disability)) manifest for you?']
HIV infected,a,unconscious_bias,medical_state,APA,"['person with AIDS(...)', 'person living with HIV(...)']",['people with AIDS(...)'],"['person with AIDS(...)', 'person living with HIV(...)']"
Hail Mary,s,unconscious_bias,sports_terms,sports_terms,['last-ditch effort'],[],['last-ditch effort']
Happy Holidays,i,unconscious_bias,belief,belief,['Have a great break'],[],['Have a great break']
Jesus freak,s,unconscious_bias,belief,belief,['-'],['-'],['-']
Merry Christmas,i,unconscious_bias,belief,belief,"['Have a great break', 'Happy holidays']",[],"['Have a great break', 'Happy holidays']"
Monday morning quarterback,i,unconscious_bias,sports_terms,sports_terms,"['hindsight critic', 'second-guesser', 'second-guessing decisions after the fact', 'using hindsight to assess the actions of others']",[],"['hindsight critic', 'second-guesser', 'second-guessing decisions after the fact', 'using hindsight to assess the actions of others']"
See you soon,i,unconscious_bias,vision,cultural,"['Be in touch soon', 'Hope to connect soon', 'Hope to welcome you soon']",[],"['Be in touch soon', 'Hope to connect soon', 'Hope to welcome you soon']"
Sunday is a day of rest,i,unconscious_bias,belief,belief,"['rest days are days for recharging', 'non-working days are for resting', '--- only as a reference to religious practise', 'Enjoy rest days(...)', 'Make the most of your weekends(...)']",['--- only as a reference to religious practise'],"['--- only as a reference to religious practise', 'rest days are days for recharging', 'non-working days are for resting', 'Enjoy rest days(...)', 'Make the most of your weekends(...)']"
