Lemma,Word_Type,Priority,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Black Belt,s,,gendered,male_stereotype,"['Members of the House', 'Members of the House of Representatives', 'representatives', 'Senators', 'they', 'House of Representatives', 'the Senat', 'the House', 'Congress', 'Members of the House', 'Members of the House of Representatives', 'Senators', 'representatives']","['Members of the House', 'Members of the House of Representatives', 'Senators', 'representatives', 'House of Representatives', 'the Senat', 'the House', 'Congress']","['skilled person', 'very proficient person', 'curageous person', 'they', 'skilled people', 'very proficient people', 'curageous people']"
Dear Sir,i,,gendered,function,"['skilled person', 'very proficient person', 'curageous person', 'they', 'skilled people', 'very proficient people', 'curageous people']","['skilled people', 'very proficient people', 'curageous people']",['Dear (name or title)']
at the front line,,,gendered,male_stereotype,"['actor', 'they', 'actors']",['actors'],"['at the forefront', 'in the foremost position', 'where the hardest work is done', 'where the most important work is done', 'in the most influential position in a debate']"
at the front-line,,,gendered,male_stereotype,"['they', 'administration', 'administrative team', 'administrators']","['administrators', 'administrative team', 'administration']","['at the forefront', 'in the foremost position', 'where the hardest work is done', 'where the most important work is done', 'in the most influential position in a debate']"
at the frontline,,,gendered,male_stereotype,"['representative', 'they', 'agency', 'management', 'representation', 'agents']","['agents', 'agency', 'management', 'representation']","['at the forefront', 'in the foremost position', 'where the hardest work is done', 'where the most important work is done', 'in the most influential position in a debate']"
attention seeking,a,1,gendered,female_stereotype,"['they', 'analysis', 'analysis team', 'analysts']","['analysts', 'analysis team', 'analysis']","['outgoing', 'at ease in social situations', 'gregarious', 'lively', 'extroverted', 'unrestrained', 'validation-seeking', 'approval-seeking', 'causing disruption', 'tending to cause disruption']"
boldly go where no man has gone before,i,,gendered,function,"['anchor', 'they', 'anchor']",['anchor'],['boldly go where no one has gone before']
catch flak,v+s,,gendered,male_stereotype,"['anchor', 'they', 'anchor']",['anchor'],"['receive a lot of criticism', 'get a lot of teasing', 'meet with heavy opposition']"
delivery man,s,,gendered,titles,"['they', 'architecture', 'architects']","['architects', 'architecture']","['delivery', 'delivery person', 'they', 'delivery team', 'delivery staff', 'delivery persons', 'delivery people']"
down to the wire,i,,gendered,male_stereotype,"['outgoing', 'at ease in social situations', 'gregarious', 'lively', 'extroverted', 'unrestrained', 'validation-seeking', 'approval-seeking', 'causing disruption', 'tending to cause disruption']",[''],"['right up to the deadline', 'to the very end', 'until the last possible second', 'undecided until the very last moment']"
drop the ball,i,,gendered,male_stereotype,"['outgoing', 'at ease in social situations', 'gregarious', 'lively', 'extroverted', 'unrestrained', 'validation-seeking', 'approval-seeking', 'causing disruption', 'tending to cause disruption']",[''],"['make a mistake', 'miss an opportunity', 'mishandle things', 'hesitate too long']"
every man,s,,gendered,function,"['they', 'audit', 'auditing', 'auditors']","['auditors', 'audit', 'auditing']","['everybody', 'all']"
every man for himself,i,,gendered,function,"['author', 'they', 'authors']",['authors'],"['everyone for yourselves', 'everyone for themself']"
