Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
aus dem Nähkästchen plaudern,||s|v,gendered,advanced_hidden_image,"['Einblick in den eigenen Arbeitsalltag gewähren', 'persönliche Erfahrungen teilen', 'Einblick in die eigene Welt geben', 'zum Blick hinter die Kulissen einladen', 'sich über die Schulter schauen lassen']","['Einblick in den eigenen Arbeitsalltag gewähren(...)', 'persönliche Erfahrungen teilen(...)', 'Einblick in die eigene Welt geben(...)', 'zum Blick hinter die Kulissen einladen(...)', 'sich über die Schulter schauen lassen(...)']","['Einblick in den eigenen Arbeitsalltag gewähren', 'persönliche Erfahrungen teilen', 'Einblick in die eigene Welt geben', 'zum Blick hinter die Kulissen einladen', 'sich über die Schulter schauen lassen', 'Einblick in den eigenen Arbeitsalltag gewähren(...)', 'persönliche Erfahrungen teilen(...)', 'Einblick in die eigene Welt geben(...)', 'zum Blick hinter die Kulissen einladen(...)', 'sich über die Schulter schauen lassen(...)']"
benutzerfreundlich,a,gendered,advanced_hidden_image,"['benutzungsfreundlich', 'einfach zu nutzen', 'leicht zu bedienen']",[],"['benutzungsfreundlich', 'einfach zu nutzen', 'leicht zu bedienen']"
der richtige Mann für,|a|s|,gendered,advanced_hidden_image,"['die passende Person für', 'eine gute Wahl für', 'die Idealbesetzung für']",[],"['die passende Person für', 'eine gute Wahl für', 'die Idealbesetzung für']"
herrlich,a,gendered,advanced_hidden_image,"['wunderbar', 'schön', 'großartig']",[],"['wunderbar', 'schön', 'großartig']"
leserfreundlich,a,gendered,advanced_hidden_image,['lesefreundlich'],[],['lesefreundlich']
meisterhaft,a,gendered,advanced_hidden_image,"['fachkundig', 'kompetent', 'mit Erfahrung']",[],"['fachkundig', 'kompetent', 'mit Erfahrung']"
unser Mann in,|s|,gendered,advanced_hidden_image,"['unsere Vertretung in', 'unsere Vertrauensperson in']",[],"['unsere Vertretung in', 'unsere Vertrauensperson in']"
jammern,v,gendered,female_stereotype,"['kritisieren', 'Unbehagen äußern(...)', 'sich beschweren(...)', 'untröstlich sein(...)', '(mögliche) Konsequenzen aufzeigen(...)']",[],"['kritisieren', 'Unbehagen äußern(...)', 'sich beschweren(...)', 'untröstlich sein(...)', '(mögliche) Konsequenzen aufzeigen(...)']"
nörgeln,v,gendered,female_stereotype,"['motivieren', 'kommentieren', 'sich beschweren', 'untröstlich sein', 'zu Verbesserungen ermutigen(...)', 'Unbehagen äußern(...)', 'Leid empfinden über(...)', 'offen Besorgnisse teilen(...)', 'Erwartungen kommunizieren(...)', 'offen Bedenken äußern(...)', 'Feedback geben(...)', 'an (...) erinnern']",[],"['motivieren', 'kommentieren', 'sich beschweren', 'untröstlich sein', 'zu Verbesserungen ermutigen(...)', 'Unbehagen äußern(...)', 'Leid empfinden über(...)', 'offen Besorgnisse teilen(...)', 'Erwartungen kommunizieren(...)', 'offen Bedenken äußern(...)', 'Feedback geben(...)', 'an (...) erinnern']"
dämlich,a,gendered,female_stereotype,"['ungünstig', 'ahnungslos', 'ungeschickt', 'unbeholfen', 'trostlos']",[],"['ungünstig', 'ahnungslos', 'ungeschickt', 'unbeholfen', 'trostlos']"
zickig,a,gendered,female_stereotype,"['anderer Ansicht', 'uneinsichtig']",[],"['anderer Ansicht', 'uneinsichtig']"
Herr der Lage,s||s,gendered,male_stereotype,"['Person, die die Lage im Griff hat(...)']","['Personen, die die Lage im Griff haben(...)']","['Person, die die Lage im Griff hat(...)', 'Personen, die die Lage im Griff haben(...)']"
Herr der Situation,s||s,gendered,male_stereotype,"['Person, die eine Situation im Griff hat(...)', 'Person, die in einer Situation den Überblick hat(...)']","['Personen, die eine Situation im Griff haben(...)', 'Personen, die in einer Situation den Überblick haben(...)']","['Person, die eine Situation im Griff hat(...)', 'Person, die in einer Situation den Überblick hat(...)', 'Personen, die eine Situation im Griff haben(...)', 'Personen, die in einer Situation den Überblick haben(...)']"
Herr im Haus,s||s,gendered,male_stereotype,"['Person, die im Haus die Entscheidungen trifft(...)']","['Personen, die die im Haus die Entscheidungen trifft(...)']","['Person, die im Haus die Entscheidungen trifft(...)', 'Personen, die die im Haus die Entscheidungen trifft(...)']"
Mann im Haus,s||s,gendered,male_stereotype,"['Person, die im Haus die Entscheidungen trifft(...)']","['Personen, die im Haus die Entscheidungen treffen(...)']","['Person, die im Haus die Entscheidungen trifft(...)', 'Personen, die im Haus die Entscheidungen treffen(...)']"
Übung macht den Meister,s|v||s,gendered,male_stereotype,['Übung macht den~die Meister~in'],[],['Übung macht den~die Meister~in']
Callcenter-Agent,s|s,gendered,titles,['Callcenter-Agent~in~/~Callcenter-Agent'],['Callcenter-Agent~innen~ und ~Callcenter-Agenten'],"['Callcenter-Agent~in~/~Callcenter-Agent', 'Callcenter-Agent~innen~ und ~Callcenter-Agenten']"
Callcenter Agent,s|s,gendered,titles,['Callcenter-Agent~in~/~Callcenter-Agent'],['Callcenter-Agent~innen~ und ~Callcenter-Agenten'],"['Callcenter-Agent~in~/~Callcenter-Agent', 'Callcenter-Agent~innen~ und ~Callcenter-Agenten']"
